日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005117209,七彩椒(1),辣椒类,0.482,16.0,销售,否,7.58,15.98
2020-07-01,102900005117209,七彩椒(1),辣椒类,0.213,16.0,销售,否,7.58,15.98
2020-07-01,102900005117209,七彩椒(1),辣椒类,0.288,16.0,销售,否,7.58,15.98
2020-07-01,102900005117209,七彩椒(1),辣椒类,0.419,16.0,销售,否,7.58,15.98
2020-07-01,102900005117209,七彩椒(1),辣椒类,0.507,16.0,销售,否,7.58,15.98
2020-07-02,102900005117209,七彩椒(1),辣椒类,0.129,14.0,销售,否,7.33,15.98
2020-07-02,102900005117209,七彩椒(1),辣椒类,0.422,14.0,销售,否,7.33,15.98
2020-07-02,102900005117209,七彩椒(1),辣椒类,0.508,14.0,销售,否,7.33,15.98
2020-07-02,102900005117209,七彩椒(1),辣椒类,0.444,14.0,销售,否,7.33,15.98
2020-07-02,102900005117209,七彩椒(1),辣椒类,0.322,14.0,销售,否,7.33,15.98
2020-07-03,102900005117209,七彩椒(1),辣椒类,0.458,14.0,销售,否,6.21,15.98
2020-07-03,102900005117209,七彩椒(1),辣椒类,0.393,14.0,销售,否,6.21,15.98
2020-07-03,102900005117209,七彩椒(1),辣椒类,0.279,14.0,销售,否,6.21,15.98
2020-07-03,102900005117209,七彩椒(1),辣椒类,0.451,14.0,销售,否,6.21,15.98
2020-07-04,102900005117209,七彩椒(1),辣椒类,0.393,14.0,销售,否,7.43,15.98
2020-07-04,102900005117209,七彩椒(1),辣椒类,0.3,14.0,销售,否,7.43,15.98
2020-07-05,102900005117209,七彩椒(1),辣椒类,0.279,14.0,销售,否,8.35,15.98
2020-07-05,102900005117209,七彩椒(1),辣椒类,0.372,14.0,销售,否,8.35,15.98
2020-07-05,102900005117209,七彩椒(1),辣椒类,0.365,14.0,销售,否,8.35,15.98
2020-07-05,102900005117209,七彩椒(1),辣椒类,0.243,14.0,销售,否,8.35,15.98
2020-07-05,102900005117209,七彩椒(1),辣椒类,0.136,14.0,销售,否,8.35,15.98
2020-07-06,102900005117209,七彩椒(1),辣椒类,0.322,14.0,销售,否,8.44,15.98
2020-07-06,102900005117209,七彩椒(1),辣椒类,0.136,14.0,销售,否,8.44,15.98
2020-07-06,102900005117209,七彩椒(1),辣椒类,0.386,14.0,销售,否,8.44,15.98
2020-07-06,102900005117209,七彩椒(1),辣椒类,0.429,14.0,销售,否,8.44,15.98
2020-07-07,102900005117209,七彩椒(1),辣椒类,0.401,14.0,销售,否,8.46,15.98
2020-07-07,102900005117209,七彩椒(1),辣椒类,0.343,14.0,销售,否,8.46,15.98
2020-07-07,102900005117209,七彩椒(1),辣椒类,0.193,14.0,销售,否,8.46,15.98
2020-07-07,102900005117209,七彩椒(1),辣椒类,0.179,14.0,销售,否,8.46,15.98
2020-07-07,102900005117209,七彩椒(1),辣椒类,0.207,14.0,销售,否,8.46,15.98
2020-07-08,102900005117209,七彩椒(1),辣椒类,0.236,14.0,销售,否,8.42,15.98
2020-07-08,102900005117209,七彩椒(1),辣椒类,0.172,14.0,销售,否,8.42,15.98
2020-07-08,102900005117209,七彩椒(1),辣椒类,0.207,14.0,销售,否,8.42,15.98
2020-07-08,102900005117209,七彩椒(1),辣椒类,0.215,14.0,销售,否,8.42,15.98
2020-07-08,102900005117209,七彩椒(1),辣椒类,0.25,14.0,销售,否,8.42,15.98
2020-07-09,102900005117209,七彩椒(1),辣椒类,0.379,14.0,销售,否,7.92,15.98
2020-07-10,102900005117209,七彩椒(1),辣椒类,0.372,14.0,销售,否,7.35,15.98
2020-07-10,102900005117209,七彩椒(1),辣椒类,0.372,14.0,销售,否,7.35,15.98
2020-07-10,102900005117209,七彩椒(1),辣椒类,0.308,14.0,销售,否,7.35,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.2,14.0,销售,否,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.322,14.0,销售,否,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.193,14.0,销售,否,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.229,14.0,销售,否,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.222,12.6,销售,是,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.2,14.0,销售,否,8.3,15.98
2020-07-11,102900005117209,七彩椒(1),辣椒类,0.236,14.0,销售,否,8.3,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.257,16.0,销售,否,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.175,15.4,销售,是,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.2,16.0,销售,否,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.25,16.0,销售,否,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.35,16.0,销售,否,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.332,16.0,销售,否,7.83,15.98
2020-07-12,102900005117209,七彩椒(1),辣椒类,0.207,16.0,销售,否,7.83,15.98
2020-07-13,102900005117209,七彩椒(1),辣椒类,0.495,18.0,销售,否,8.8,15.98
2020-07-13,102900005117209,七彩椒(1),辣椒类,0.384,18.0,销售,否,8.8,15.98
2020-07-14,102900005117209,七彩椒(1),辣椒类,0.406,18.0,销售,否,11.45,15.98
2020-07-15,102900005117209,七彩椒(1),辣椒类,0.202,21.8,销售,否,11.9,15.98
2020-07-15,102900005117209,七彩椒(1),辣椒类,0.248,21.8,销售,否,11.9,15.98
2020-07-16,102900005117209,七彩椒(1),辣椒类,0.326,21.8,销售,否,12.51,15.98
2020-07-16,102900005117209,七彩椒(1),辣椒类,0.335,21.8,销售,否,12.51,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.328,19.8,销售,否,12.96,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.197,19.8,销售,否,12.96,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.343,19.8,销售,否,12.96,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.384,19.8,销售,否,12.96,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.253,19.8,销售,否,12.96,15.98
2020-07-17,102900005117209,七彩椒(1),辣椒类,0.293,19.8,销售,否,12.96,15.98
2020-07-18,102900005117209,七彩椒(1),辣椒类,0.318,18.9,销售,是,13.74,15.98
2020-07-18,102900005117209,七彩椒(1),辣椒类,0.5,19.8,销售,否,13.74,15.98
