日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-19,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.8,9.43
2022-01-19,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.8,9.43
2022-01-21,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,3.58,9.43
2022-01-21,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,3.58,9.43
2022-01-22,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,3.56,9.43
2022-01-23,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,3.58,9.43
2022-01-24,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.7,9.43
2022-01-24,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.7,9.43
2022-01-25,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.7,9.43
2022-01-25,102900011031735,七彩椒(份),辣椒类,1.0,2.9,销售,是,2.7,9.43
2022-01-29,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,4.24,9.43
2022-01-29,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,4.24,9.43
2022-01-29,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,4.24,9.43
2022-01-29,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,4.24,9.43
2022-01-30,102900011031735,七彩椒(份),辣椒类,1.0,4.9,销售,否,2.7,9.43
2022-02-11,102900011031735,七彩椒(份),辣椒类,1.0,6.5,销售,否,3.8,9.43
2022-02-11,102900011031735,七彩椒(份),辣椒类,1.0,6.5,销售,否,3.8,9.43
2022-02-12,102900011031735,七彩椒(份),辣椒类,1.0,6.5,销售,否,3.79,9.43
