单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900005115823,上海青,花叶类,09:19:45.450,0.421,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,10:20:38.736,0.241,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,10:27:59.280,0.661,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,10:32:52.501,0.491,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,10:39:54.326,0.21,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,10:45:14.681,0.301,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,11:01:24.561,0.411,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,11:38:16.477,0.571,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,11:49:44.275,0.421,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,11:52:09.858,0.241,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,12:29:08.217,0.671,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,14:17:12.887,0.561,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,15:20:04.514,0.782,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,15:25:14.764,0.431,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,15:42:36.088,0.231,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,15:46:10.650,0.16,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,16:10:08.595,0.341,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,16:10:24.807,0.15,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,16:11:18.057,0.371,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,16:26:36.530,0.351,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,16:43:45.692,0.451,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,17:30:03.436,0.271,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,17:37:48.842,0.401,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,18:01:24.098,0.631,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,18:22:24.625,0.441,10.0,销售,否,2020-07-01,7.03
102900005115823,上海青,花叶类,18:36:43.716,0.411,10.0,销售,否,2020-07-01,7.03
