日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-02,102900011006689,东门口小白菜,花叶类,0.251,10.0,销售,否,6.83,27.84
2020-07-02,102900011006689,东门口小白菜,花叶类,0.18,10.0,销售,否,6.83,27.84
2020-07-02,102900011006689,东门口小白菜,花叶类,0.18,10.0,销售,否,6.83,27.84
2020-07-02,102900011006689,东门口小白菜,花叶类,0.431,10.0,销售,否,6.83,27.84
2020-07-02,102900011006689,东门口小白菜,花叶类,0.16,10.0,销售,否,6.83,27.84
2020-07-02,102900011006689,东门口小白菜,花叶类,0.19,10.0,销售,否,6.83,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,0.291,10.0,销售,否,6.88,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,0.281,10.0,销售,否,6.88,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,0.541,10.0,销售,否,6.88,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,1.042,10.0,销售,否,6.88,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,0.301,10.0,销售,否,6.88,27.84
2020-07-03,102900011006689,东门口小白菜,花叶类,1.022,10.0,销售,否,6.88,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.982,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.591,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.15,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.671,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.431,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.451,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.241,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.22,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.21,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.291,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.18,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.22,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.16,10.0,销售,否,7.21,27.84
2020-07-04,102900011006689,东门口小白菜,花叶类,0.11,10.0,销售,否,7.21,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.328,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.219,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.373,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.301,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.173,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.219,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.364,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.291,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.219,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.118,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.328,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.355,11.0,销售,否,7.03,27.84
2020-07-05,102900011006689,东门口小白菜,花叶类,0.337,11.0,销售,否,7.03,27.84
2020-07-07,102900011006689,东门口小白菜,花叶类,1.266,11.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.439,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.464,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.213,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.526,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.251,7.5,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.201,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.539,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.226,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.514,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.414,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.677,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.439,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.288,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.551,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.288,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.238,7.1,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.288,6.8,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.539,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.464,7.5,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.276,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.238,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.238,7.0,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.338,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.288,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.263,8.0,销售,否,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.301,6.8,销售,是,4.32,27.84
2020-07-11,102900011006689,东门口小白菜,花叶类,0.489,8.0,销售,否,4.32,27.84
2020-07-12,102900011006689,东门口小白菜,花叶类,0.576,8.0,销售,否,4.26,27.84
2020-07-12,102900011006689,东门口小白菜,花叶类,0.301,8.0,销售,否,4.26,27.84
