日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-02-05,102900011008133,丝瓜尖,花叶类,0.461,10.0,销售,否,14.98,15.98
2021-02-05,102900011008133,丝瓜尖,花叶类,0.291,10.0,销售,否,14.98,15.98
2021-02-05,102900011008133,丝瓜尖,花叶类,0.421,10.0,销售,否,14.98,15.98
2021-02-06,102900011008133,丝瓜尖,花叶类,0.411,10.0,销售,否,14.99,15.98
2021-02-07,102900011008133,丝瓜尖,花叶类,0.421,10.0,销售,否,14.98,15.98
2021-02-07,102900011008133,丝瓜尖,花叶类,0.381,10.0,销售,否,14.98,15.98
2021-02-07,102900011008133,丝瓜尖,花叶类,0.421,10.0,销售,否,14.98,15.98
2021-02-08,102900011008133,丝瓜尖,花叶类,0.361,10.0,销售,否,14.99,15.98
2021-02-08,102900011008133,丝瓜尖,花叶类,0.351,10.0,销售,否,14.99,15.98
2021-02-09,102900011008133,丝瓜尖,花叶类,0.351,10.0,销售,否,14.99,15.98
2021-02-09,102900011008133,丝瓜尖,花叶类,0.361,10.0,销售,否,14.99,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.379,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.515,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.444,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.444,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.422,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.401,14.0,销售,否,8.23,15.98
2021-06-24,102900011008133,丝瓜尖,花叶类,0.408,14.0,销售,否,8.23,15.98
2021-06-25,102900011008133,丝瓜尖,花叶类,0.537,14.0,销售,否,8.23,15.98
2021-06-25,102900011008133,丝瓜尖,花叶类,0.858,14.0,销售,否,8.23,15.98
2022-03-04,102900011008133,丝瓜尖,花叶类,0.353,49.6,销售,否,34.51,15.98
2022-03-14,102900011008133,丝瓜尖,花叶类,0.294,29.6,销售,否,16.56,15.98
2022-03-16,102900011008133,丝瓜尖,花叶类,0.449,29.6,销售,否,16.59,15.98
2022-03-17,102900011008133,丝瓜尖,花叶类,0.449,29.6,销售,否,16.48,15.98
2022-03-20,102900011008133,丝瓜尖,花叶类,0.497,29.6,销售,否,16.32,15.98
2022-04-03,102900011008133,丝瓜尖,花叶类,0.379,25.8,销售,否,16.46,15.98
2022-04-08,102900011008133,丝瓜尖,花叶类,0.32,25.8,销售,否,18.75,15.98
2022-04-10,102900011008133,丝瓜尖,花叶类,0.294,29.6,销售,否,18.76,15.98
2022-04-10,102900011008133,丝瓜尖,花叶类,0.382,29.6,销售,否,18.76,15.98
2022-04-12,102900011008133,丝瓜尖,花叶类,0.321,29.6,销售,否,18.56,15.98
2022-04-12,102900011008133,丝瓜尖,花叶类,0.324,29.6,销售,否,18.56,15.98
2022-04-20,102900011008133,丝瓜尖,花叶类,0.26,29.6,销售,否,16.35,15.98
2023-02-22,102900011008133,丝瓜尖,花叶类,0.402,39.6,销售,否,28.36,15.98
2023-02-25,102900011008133,丝瓜尖,花叶类,0.432,39.6,销售,否,28.37,15.98
2023-02-25,102900011008133,丝瓜尖,花叶类,0.432,39.6,销售,否,28.37,15.98
