日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-17,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.38,9.43
2021-12-17,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.38,9.43
2021-12-17,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.38,9.43
2021-12-17,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.38,9.43
2021-12-20,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.26,9.43
2021-12-20,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.26,9.43
2021-12-20,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.26,9.43
2021-12-20,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.26,9.43
2021-12-20,102900011030059,云南生菜(份),花叶类,1.0,2.7,销售,是,2.26,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,2.7,销售,是,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,2.7,销售,是,1.92,9.43
2021-12-24,102900011030059,云南生菜(份),花叶类,1.0,2.7,销售,是,1.92,9.43
2021-12-25,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-25,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-25,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-25,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.92,9.43
2021-12-26,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-26,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-26,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-26,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-28,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2021-12-28,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2021-12-28,102900011030059,云南生菜(份),花叶类,1.0,2.7,销售,是,2.11,9.43
2021-12-28,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2021-12-28,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2021-12-30,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-30,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-30,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-30,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-30,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2021-12-31,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-01,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-02,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.98,9.43
2022-01-02,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.98,9.43
2022-01-02,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.98,9.43
2022-01-02,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.98,9.43
2022-01-02,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.98,9.43
2022-01-03,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-03,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-03,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-03,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,1.96,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-04,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-05,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-05,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-05,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-06,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-07,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-07,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-07,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-07,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-07,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
2022-01-08,102900011030059,云南生菜(份),花叶类,1.0,4.5,销售,否,2.11,9.43
