日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-09-03,102900011028407,余干椒,辣椒类,0.201,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.518,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.61,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.418,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.159,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.167,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.318,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.41,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.201,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.201,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.176,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.117,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.343,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.134,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.385,12.0,销售,否,7.04,9.43
2021-09-03,102900011028407,余干椒,辣椒类,0.251,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.326,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.234,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.075,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.502,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.226,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.36,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.468,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.343,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.268,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.477,12.0,销售,否,7.04,9.43
2021-09-04,102900011028407,余干椒,辣椒类,0.276,12.0,销售,否,7.04,9.43
