日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-04-16,102900011033906,保康高山大白菜,花叶类,0.973,6.0,销售,否,2.04,9.43
2022-04-16,102900011033906,保康高山大白菜,花叶类,1.46,6.0,销售,否,2.04,9.43
2022-04-16,102900011033906,保康高山大白菜,花叶类,1.594,6.0,销售,否,2.04,9.43
2022-04-16,102900011033906,保康高山大白菜,花叶类,1.342,6.0,销售,否,2.04,9.43
2022-04-16,102900011033906,保康高山大白菜,花叶类,1.04,6.0,销售,否,2.04,9.43
2022-04-17,102900011033906,保康高山大白菜,花叶类,0.638,6.0,销售,否,2.04,9.43
2022-04-17,102900011033906,保康高山大白菜,花叶类,0.772,6.0,销售,否,2.04,9.43
2022-04-17,102900011033906,保康高山大白菜,花叶类,0.839,6.0,销售,否,2.04,9.43
2022-04-17,102900011033906,保康高山大白菜,花叶类,0.688,6.0,销售,否,2.04,9.43
2022-04-17,102900011033906,保康高山大白菜,花叶类,1.141,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.94,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.99,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.889,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.554,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.822,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,1.124,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.671,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.906,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.47,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.587,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.537,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.47,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.52,6.0,销售,否,2.04,9.43
2022-04-18,102900011033906,保康高山大白菜,花叶类,0.571,6.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,0.808,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.212,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,0.96,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.616,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,0.682,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.061,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.389,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.237,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,0.53,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.515,4.0,销售,否,2.04,9.43
2022-04-19,102900011033906,保康高山大白菜,花叶类,1.288,4.0,销售,否,2.04,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,0.985,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.288,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.263,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,0.783,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.288,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.212,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.086,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.263,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,0.808,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.338,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.288,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.288,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.641,4.0,销售,否,2.05,9.43
2022-04-20,102900011033906,保康高山大白菜,花叶类,1.742,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,1.136,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,1.061,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,0.328,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,1.667,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,1.515,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,0.934,4.0,销售,否,2.05,9.43
2022-04-21,102900011033906,保康高山大白菜,花叶类,1.591,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.732,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,1.692,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,1.54,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,1.338,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.909,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.859,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,1.439,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.707,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,1.086,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.909,4.0,销售,否,2.05,9.43
2022-04-22,102900011033906,保康高山大白菜,花叶类,0.96,4.0,销售,否,2.05,9.43
2022-06-30,102900011033906,保康高山大白菜,花叶类,1.519,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.044,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.329,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,0.918,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.487,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.139,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.139,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.804,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.298,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.519,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.076,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.234,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.234,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,0.823,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.171,3.2,销售,否,0.93,9.43
2022-07-01,102900011033906,保康高山大白菜,花叶类,1.582,3.2,销售,否,0.93,9.43
2022-07-02,102900011033906,保康高山大白菜,花叶类,1.487,3.2,销售,否,0.93,9.43
2022-07-02,102900011033906,保康高山大白菜,花叶类,1.361,3.2,销售,否,0.93,9.43
2022-07-02,102900011033906,保康高山大白菜,花叶类,1.203,3.2,销售,否,0.93,9.43
2022-07-02,102900011033906,保康高山大白菜,花叶类,1.456,3.2,销售,否,0.93,9.43
2022-07-02,102900011033906,保康高山大白菜,花叶类,1.234,3.2,销售,否,0.93,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.108,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,0.57,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,0.38,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,0.538,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.203,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.646,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.171,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.234,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,1.076,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,0.222,3.2,销售,否,0.92,9.43
2022-07-03,102900011033906,保康高山大白菜,花叶类,0.633,3.2,销售,否,0.92,9.43
2022-07-04,102900011033906,保康高山大白菜,花叶类,1.203,3.2,销售,否,1.21,9.43
2022-07-04,102900011033906,保康高山大白菜,花叶类,1.456,3.2,销售,否,1.21,9.43
2022-07-04,102900011033906,保康高山大白菜,花叶类,1.108,3.2,销售,否,1.21,9.43
2022-07-04,102900011033906,保康高山大白菜,花叶类,0.475,3.2,销售,否,1.21,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.728,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.538,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.411,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.506,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.633,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.728,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.665,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.506,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.475,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.601,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.76,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.38,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.665,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.791,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.76,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.475,3.2,销售,否,1.11,9.43
2022-07-05,102900011033906,保康高山大白菜,花叶类,0.981,3.2,销售,否,1.11,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.013,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,3.07,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.601,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.886,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.348,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.886,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.791,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.139,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.013,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.949,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.506,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.854,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.854,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.317,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.506,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.633,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.854,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.298,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.918,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.298,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,1.456,3.2,销售,否,1.03,9.43
2022-07-06,102900011033906,保康高山大白菜,花叶类,0.411,3.2,销售,否,1.03,9.43
