日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-12-08,102900011031216,冰草(盒),花叶类,1.0,6.9,销售,否,4.11,10.34
2023-02-10,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,6.18,10.34
2023-02-12,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,7.21,10.34
2023-02-16,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,7.12,10.34
2023-02-17,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,7.19,10.34
2023-02-19,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,7.16,10.34
2023-02-19,102900011031216,冰草(盒),花叶类,1.0,9.9,销售,否,7.16,10.34
2023-02-23,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,8.65,10.34
2023-02-26,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,7.11,10.34
2023-02-28,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,7.1,10.34
2023-03-03,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,8.15,10.34
2023-03-03,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,8.15,10.34
2023-03-04,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,8.2,10.34
2023-03-07,102900011031216,冰草(盒),花叶类,1.0,5.9,销售,是,8.2,10.34
2023-03-07,102900011031216,冰草(盒),花叶类,1.0,5.9,销售,是,8.2,10.34
2023-03-09,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,7.54,10.34
2023-03-09,102900011031216,冰草(盒),花叶类,1.0,7.1,销售,是,7.54,10.34
2023-03-17,102900011031216,冰草(盒),花叶类,1.0,11.8,销售,否,6.2,10.34
2023-03-22,102900011031216,冰草(盒),花叶类,1.0,5.9,销售,是,5.55,10.34
2023-03-31,102900011031216,冰草(盒),花叶类,1.0,9.8,销售,否,5.14,10.34
2023-03-31,102900011031216,冰草(盒),花叶类,1.0,9.8,销售,否,5.14,10.34
2023-04-03,102900011031216,冰草(盒),花叶类,1.0,9.8,销售,否,4.64,10.34
2023-04-03,102900011031216,冰草(盒),花叶类,1.0,9.8,销售,否,4.64,10.34
2023-04-18,102900011031216,冰草(盒),花叶类,1.0,3.6,销售,是,4.71,10.34
2023-04-24,102900011031216,冰草(盒),花叶类,1.0,3.6,销售,是,4.7,10.34
2023-04-27,102900011031216,冰草(盒),花叶类,1.0,6.0,销售,否,4.72,10.34
2023-05-04,102900011031216,冰草(盒),花叶类,1.0,7.0,销售,是,5.24,10.34
2023-05-30,102900011031216,冰草(盒),花叶类,1.0,7.0,销售,否,5.18,10.34
2023-06-17,102900011031216,冰草(盒),花叶类,1.0,3.5,销售,是,5.12,10.34
