单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900005116899,净藕(1),水生根茎类,09:27:10.680,0.407,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:04:12.389,0.438,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:06:49.920,0.401,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:23:32.420,0.645,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:29:51.397,0.463,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:33:52.545,0.426,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:36:12.436,0.376,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,10:36:39.717,0.407,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,11:18:00.576,0.701,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,11:26:28.858,0.457,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,12:09:20.990,0.438,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,12:31:56.258,0.401,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,17:53:24.036,1.033,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,17:57:20.225,0.219,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,19:05:18.486,0.382,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,19:10:54.992,0.175,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,20:04:10.826,0.87,16.0,销售,否,2020-07-08,9.0
102900005116899,净藕(1),水生根茎类,09:29:56.415,0.325,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,09:33:10.535,0.244,15.1,销售,是,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,09:57:11.748,0.363,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,10:55:28.389,0.394,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,10:56:24.916,0.3,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,11:26:06.047,0.182,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,11:31:31.958,0.582,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,11:48:04.467,0.344,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,15:12:19.248,0.413,16.0,销售,否,2020-07-10,9.0
102900005116899,净藕(1),水生根茎类,16:05:35.889,0.544,16.0,销售,否,2020-07-10,9.0
