日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2023-02-05,102900011023976,净藕(2),水生根茎类,1.661,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.477,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.242,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.309,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.376,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.795,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.46,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.99,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.141,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.158,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.158,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.453,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.805,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.242,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.057,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.057,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.822,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.94,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,0.654,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.175,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.158,6.0,销售,否,4.26,11.62
2023-02-05,102900011023976,净藕(2),水生根茎类,1.024,6.0,销售,否,4.26,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.503,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.47,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,1.024,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.503,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.369,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.386,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.52,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.302,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.47,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.503,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.47,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.436,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.503,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.621,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.604,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.369,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.252,3.6,销售,是,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.52,6.0,销售,否,4.2,11.62
2023-02-06,102900011023976,净藕(2),水生根茎类,0.705,3.6,销售,是,4.2,11.62
2023-02-07,102900011023976,净藕(2),水生根茎类,0.688,6.0,销售,否,4.16,11.62
2023-02-07,102900011023976,净藕(2),水生根茎类,0.738,6.0,销售,否,4.16,11.62
2023-02-08,102900011023976,净藕(2),水生根茎类,0.352,6.0,销售,否,4.16,11.62
2023-02-08,102900011023976,净藕(2),水生根茎类,0.436,6.0,销售,否,4.16,11.62
2023-02-08,102900011023976,净藕(2),水生根茎类,0.302,6.0,销售,否,4.16,11.62
2023-02-08,102900011023976,净藕(2),水生根茎类,0.319,6.0,销售,否,4.16,11.62
2023-02-08,102900011023976,净藕(2),水生根茎类,0.52,6.0,销售,否,4.16,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.839,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.638,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.638,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.755,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.587,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.218,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.52,6.0,销售,否,4.02,11.62
2023-02-09,102900011023976,净藕(2),水生根茎类,0.47,6.0,销售,否,4.02,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.604,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.554,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.269,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.671,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.554,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.654,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.386,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.487,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.537,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.638,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.839,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.503,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.638,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.453,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.99,6.0,销售,否,4.0,11.62
2023-02-10,102900011023976,净藕(2),水生根茎类,0.755,6.0,销售,否,4.0,11.62
