日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-08,102900005115816,南瓜尖,花叶类,0.576,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.501,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.301,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.288,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.326,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.238,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.251,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.576,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.251,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.251,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.263,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.326,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.276,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.213,8.0,销售,否,4.59,13.46
2020-07-08,102900005115816,南瓜尖,花叶类,0.238,8.0,销售,否,4.59,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.727,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.401,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.389,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.326,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.439,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.401,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.439,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.389,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,1.203,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.363,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.389,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.363,8.0,销售,否,4.74,13.46
2021-07-07,102900005115816,南瓜尖,花叶类,0.401,8.0,销售,否,4.74,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.439,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.815,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.714,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.877,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.389,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.451,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.401,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.326,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.263,8.0,销售,否,4.52,13.46
2021-07-10,102900005115816,南瓜尖,花叶类,0.564,8.0,销售,否,4.52,13.46
2021-07-12,102900005115816,南瓜尖,花叶类,0.691,10.0,销售,否,4.47,13.46
2021-07-12,102900005115816,南瓜尖,花叶类,0.571,10.0,销售,否,4.47,13.46
2021-07-12,102900005115816,南瓜尖,花叶类,0.541,10.0,销售,否,4.47,13.46
2021-07-12,102900005115816,南瓜尖,花叶类,0.281,10.0,销售,否,4.47,13.46
