日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-08,102900011031841,双孢菇(份),食用菌,1.0,8.9,销售,否,5.21,9.43
2022-02-09,102900011031841,双孢菇(份),食用菌,1.0,5.3,销售,是,5.21,9.43
2022-02-09,102900011031841,双孢菇(份),食用菌,1.0,5.3,销售,是,5.21,9.43
2022-09-09,102900011031841,双孢菇(份),食用菌,1.0,7.9,销售,否,0.5,9.43
2022-11-19,102900011031841,双孢菇(份),食用菌,1.0,7.9,销售,否,0.1,9.43
