日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-18,102900005119098,双孢菇,食用菌,0.361,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.147,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.147,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.074,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.256,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.217,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.322,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.624,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.399,25.8,销售,否,14.74,12.78
2020-09-18,102900005119098,双孢菇,食用菌,0.575,12.0,销售,是,14.74,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.601,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.163,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.097,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.089,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.143,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.062,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.233,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.151,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.136,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.155,25.8,销售,否,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.463,16.0,销售,是,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.331,16.0,销售,是,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.225,16.0,销售,是,14.7,12.78
2020-09-22,102900005119098,双孢菇,食用菌,0.263,16.0,销售,是,14.7,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.089,25.8,销售,否,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.178,25.8,销售,否,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.271,25.8,销售,否,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.155,25.8,销售,否,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.225,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.2,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.281,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.225,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.325,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.3,16.0,销售,是,14.68,12.78
2020-09-23,102900005119098,双孢菇,食用菌,0.219,16.0,销售,是,14.68,12.78
2020-09-24,102900005119098,双孢菇,食用菌,-0.325,16.0,退货,是,10.0,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.26,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.163,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.256,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.174,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.229,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.194,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.31,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.112,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.174,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.182,25.8,销售,否,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.243,14.0,销售,是,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.35,14.0,销售,是,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.157,14.0,销售,是,14.13,12.78
2020-09-25,102900005119098,双孢菇,食用菌,0.321,14.0,销售,是,14.13,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.128,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.399,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.217,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.093,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.128,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.136,25.8,销售,否,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.25,16.0,销售,是,14.62,12.78
2020-09-26,102900005119098,双孢菇,食用菌,0.269,16.0,销售,是,14.62,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.295,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.291,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.287,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.357,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.097,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.337,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.488,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.171,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.198,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.132,25.8,销售,否,14.65,12.78
2020-09-27,102900005119098,双孢菇,食用菌,0.319,16.0,销售,是,14.65,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.271,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.147,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.229,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.171,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.178,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.128,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.066,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.411,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.264,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.411,25.8,销售,否,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.288,16.0,销售,是,17.9,12.78
2020-10-20,102900005119098,双孢菇,食用菌,0.325,16.0,销售,是,17.9,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.507,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.382,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.325,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.413,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.582,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.238,16.0,销售,否,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.3,9.0,销售,是,10.89,12.78
2020-12-05,102900005119098,双孢菇,食用菌,0.322,9.0,销售,是,10.89,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.232,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.651,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.282,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.638,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.075,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.156,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.244,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.682,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.25,16.0,销售,否,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.15,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.363,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.175,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.4,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.375,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.388,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.425,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.425,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.338,8.0,销售,是,11.02,12.78
2020-12-06,102900005119098,双孢菇,食用菌,0.363,8.0,销售,是,11.02,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.156,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.225,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.225,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.213,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.219,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.35,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.376,16.0,销售,否,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.338,8.0,销售,是,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.35,8.0,销售,是,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.375,8.0,销售,是,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.338,8.0,销售,是,10.88,12.78
2020-12-07,102900005119098,双孢菇,食用菌,0.388,8.0,销售,是,10.88,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.219,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.338,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.363,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.225,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.25,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.15,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.357,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.519,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.401,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.144,16.0,销售,否,10.96,12.78
2020-12-08,102900005119098,双孢菇,食用菌,0.413,16.0,销售,否,10.96,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.376,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.895,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.294,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.469,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.238,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.401,16.0,销售,否,10.94,12.78
2020-12-09,102900005119098,双孢菇,食用菌,0.49,10.0,销售,否,10.94,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.238,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.363,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.25,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.451,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.138,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.269,16.0,销售,否,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.263,8.0,销售,是,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.275,8.0,销售,是,10.77,12.78
2020-12-10,102900005119098,双孢菇,食用菌,0.325,8.0,销售,是,10.77,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.188,16.0,销售,否,10.74,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.313,16.0,销售,否,10.74,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.513,16.0,销售,否,10.74,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.219,16.0,销售,否,10.74,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.426,16.0,销售,否,10.74,12.78
2020-12-11,102900005119098,双孢菇,食用菌,0.845,16.0,销售,否,10.74,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.376,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.194,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.2,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.169,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.219,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.156,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.119,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.3,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.501,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.57,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.175,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.188,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.15,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.382,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.119,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.357,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.419,16.0,销售,否,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.438,8.0,销售,是,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.45,8.0,销售,是,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.288,8.0,销售,是,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.288,8.0,销售,是,11.3,12.78
2020-12-12,102900005119098,双孢菇,食用菌,0.338,8.0,销售,是,11.3,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.557,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.363,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.263,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.413,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.194,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.413,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.257,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.3,16.0,销售,否,10.61,12.78
2020-12-13,102900005119098,双孢菇,食用菌,0.388,16.0,销售,否,10.61,12.78
