日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-09-06,102900011033999,圆茄子(1),茄类,0.426,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.426,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.485,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.388,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.407,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.446,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.426,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.368,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.465,5.2,销售,否,6.19,9.43
2022-09-06,102900011033999,圆茄子(1),茄类,0.446,5.2,销售,否,6.19,9.43
2022-09-07,102900011033999,圆茄子(1),茄类,0.368,5.2,销售,否,6.2,9.43
2022-09-09,102900011033999,圆茄子(1),茄类,0.33,5.2,销售,否,6.18,9.43
