日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900011006948,外地茼蒿,花叶类,0.313,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.25,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.238,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.388,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.219,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.269,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.57,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.182,16.0,销售,否,11.69,26.16
2020-07-01,102900011006948,外地茼蒿,花叶类,0.194,16.0,销售,否,11.69,26.16
2020-07-02,102900011006948,外地茼蒿,花叶类,0.419,16.0,销售,否,11.75,26.16
2020-07-02,102900011006948,外地茼蒿,花叶类,0.438,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.307,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.207,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.319,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.194,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.225,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.325,16.0,销售,否,11.75,26.16
2020-07-03,102900011006948,外地茼蒿,花叶类,0.513,16.0,销售,否,11.75,26.16
2020-07-06,102900011006948,外地茼蒿,花叶类,0.394,16.0,销售,否,9.17,26.16
2020-07-06,102900011006948,外地茼蒿,花叶类,0.914,16.0,销售,否,9.17,26.16
