日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-18,102900011008492,大芥兰,花叶类,0.501,7.0,销售,否,4.31,4.69
2021-07-18,102900011008492,大芥兰,花叶类,0.745,7.0,销售,否,4.31,4.69
2021-07-18,102900011008492,大芥兰,花叶类,1.567,3.0,销售,是,4.31,4.69
2021-07-18,102900011008492,大芥兰,花叶类,0.567,3.0,销售,是,4.31,4.69
2021-07-18,102900011008492,大芥兰,花叶类,1.1,3.0,销售,是,4.31,4.69
2021-07-18,102900011008492,大芥兰,花叶类,0.467,3.0,销售,是,4.31,4.69
2021-07-19,102900011008492,大芥兰,花叶类,0.367,3.0,销售,是,4.31,4.69
2021-07-19,102900011008492,大芥兰,花叶类,0.8,3.0,销售,是,4.31,4.69
2021-07-19,102900011008492,大芥兰,花叶类,0.533,3.0,销售,是,4.31,4.69
2021-07-19,102900011008492,大芥兰,花叶类,0.833,3.0,销售,是,4.31,4.69
