日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-05,102900011009444,大龙茄子,茄类,0.417,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.509,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.276,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.509,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.417,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.259,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.209,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.559,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.309,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.334,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.501,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.484,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,1.01,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.576,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.401,11.7,销售,是,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.459,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.601,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.326,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.217,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.434,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.326,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.384,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.568,12.0,销售,否,8.1,10.94
2020-07-05,102900011009444,大龙茄子,茄类,0.342,12.0,销售,否,8.1,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.367,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.609,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.785,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.367,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.71,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.242,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.225,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.584,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.292,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.442,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.184,12.0,销售,否,5.27,10.94
2020-07-06,102900011009444,大龙茄子,茄类,0.526,12.0,销售,否,5.27,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.551,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.417,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.826,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.367,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.701,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.685,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.693,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.326,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.426,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.501,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,1.327,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.451,12.0,销售,否,4.07,10.94
2020-07-09,102900011009444,大龙茄子,茄类,0.484,12.0,销售,否,4.07,10.94
2020-07-10,102900011009444,大龙茄子,茄类,1.018,12.0,销售,否,8.11,10.94
2020-07-10,102900011009444,大龙茄子,茄类,0.409,12.0,销售,否,8.11,10.94
