日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-16,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-19,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-19,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-19,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-21,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-22,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,1.41,9.43
2022-04-22,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,1.41,9.43
2022-04-25,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-25,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-26,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
2022-04-26,102900011034231,奶白菜(份),花叶类,1.0,1.3,销售,是,0.94,9.43
2022-04-27,102900011034231,奶白菜(份),花叶类,1.0,1.9,销售,否,0.94,9.43
