日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-24,102900011008164,奶白菜,花叶类,0.387,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.416,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.158,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.573,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.229,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.33,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.444,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.358,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.315,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.158,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.401,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.358,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.501,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.43,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.33,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.702,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.315,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.501,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.287,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.33,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.287,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.401,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.587,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.215,7.0,销售,否,4.68,15.68
2020-08-24,102900011008164,奶白菜,花叶类,0.215,7.0,销售,否,4.68,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.53,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.602,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.473,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.888,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.501,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.215,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.244,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.315,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.444,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.544,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.258,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.244,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.229,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.229,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.215,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.315,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.516,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.315,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.544,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.272,7.0,销售,否,4.69,15.68
2020-08-27,102900011008164,奶白菜,花叶类,0.802,7.0,销售,否,4.69,15.68
2020-09-04,102900011008164,奶白菜,花叶类,0.522,5.0,销售,否,2.6,15.68
2020-09-04,102900011008164,奶白菜,花叶类,0.382,5.0,销售,否,2.6,15.68
2020-09-04,102900011008164,奶白菜,花叶类,0.121,5.0,销售,否,2.6,15.68
