日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-21,102900011027462,奶白菜苗,花叶类,0.461,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.451,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.812,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.2,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.431,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.361,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.351,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.291,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.12,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.321,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.651,10.0,销售,否,5.52,10.94
2021-07-21,102900011027462,奶白菜苗,花叶类,0.16,10.0,销售,否,5.52,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.651,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.361,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.902,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.621,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.371,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.762,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.521,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.19,10.0,销售,否,5.5,10.94
2021-07-22,102900011027462,奶白菜苗,花叶类,0.441,10.0,销售,否,5.5,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.691,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.411,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.361,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.421,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.511,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.401,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.381,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.22,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.261,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.12,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.461,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.391,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.331,10.0,销售,否,5.3,10.94
2021-07-23,102900011027462,奶白菜苗,花叶类,0.12,10.0,销售,否,5.3,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.301,10.0,销售,否,5.51,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.492,10.0,销售,否,5.51,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.572,10.0,销售,否,5.51,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.351,10.0,销售,否,5.51,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.291,10.0,销售,否,5.51,10.94
2021-07-30,102900011027462,奶白菜苗,花叶类,0.311,10.0,销售,否,5.51,10.94
