日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-16,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-17,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-17,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-17,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-17,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-17,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-18,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-18,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-18,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-18,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-19,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-21,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-21,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-21,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-22,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-22,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-22,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-22,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.29,9.43
2022-03-23,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.3,9.43
2022-03-23,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,3.5,销售,否,2.3,9.43
2022-03-24,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.3,9.43
2022-03-24,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.3,9.43
2022-03-25,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.29,9.43
2022-03-25,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.29,9.43
2022-03-26,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.33,9.43
2022-03-26,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.33,9.43
2022-03-26,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.33,9.43
2022-03-26,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.33,9.43
2022-03-27,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.44,9.43
2022-03-27,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.44,9.43
2022-03-29,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.44,9.43
2022-03-29,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.44,9.43
2022-03-30,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.72,9.43
2022-03-30,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.72,9.43
2022-03-30,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.72,9.43
2022-03-30,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.72,9.43
2022-03-31,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.81,9.43
2022-03-31,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.81,9.43
2022-04-02,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.8,9.43
2022-04-02,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.8,9.43
2022-04-02,102900011032848,姜蒜小米椒组合装(小份),辣椒类,1.0,4.9,销售,否,2.8,9.43
