日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-13,102900011032640,姬菇(2),食用菌,0.242,19.8,销售,否,9.68,9.43
2022-03-13,102900011032640,姬菇(2),食用菌,0.232,19.8,销售,否,9.68,9.43
2022-03-15,102900011032640,姬菇(2),食用菌,0.212,19.8,销售,否,9.72,9.43
2022-03-16,102900011032640,姬菇(2),食用菌,0.248,19.8,销售,否,9.69,9.43
2022-03-16,102900011032640,姬菇(2),食用菌,0.232,11.9,销售,是,9.69,9.43
2022-03-17,102900011032640,姬菇(2),食用菌,0.253,19.8,销售,否,9.69,9.43
2022-03-17,102900011032640,姬菇(2),食用菌,0.227,19.8,销售,否,9.69,9.43
2022-03-18,102900011032640,姬菇(2),食用菌,0.263,9.9,销售,是,9.7,9.43
2022-03-18,102900011032640,姬菇(2),食用菌,0.298,9.9,销售,是,9.7,9.43
2022-03-18,102900011032640,姬菇(2),食用菌,0.293,9.9,销售,是,9.7,9.43
2022-03-21,102900011032640,姬菇(2),食用菌,0.232,19.8,销售,否,9.7,9.43
2022-03-22,102900011032640,姬菇(2),食用菌,0.237,13.9,销售,是,9.7,9.43
2022-03-25,102900011032640,姬菇(2),食用菌,0.242,19.8,销售,否,8.93,9.43
2022-03-25,102900011032640,姬菇(2),食用菌,0.187,19.8,销售,否,8.93,9.43
2022-03-25,102900011032640,姬菇(2),食用菌,0.227,13.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.172,13.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.182,19.8,销售,否,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.182,13.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.222,11.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.237,11.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.162,11.9,销售,是,8.93,9.43
2022-03-26,102900011032640,姬菇(2),食用菌,0.192,11.9,销售,是,8.93,9.43
2022-03-27,102900011032640,姬菇(2),食用菌,0.212,13.9,销售,是,8.93,9.43
2022-03-27,102900011032640,姬菇(2),食用菌,0.273,11.9,销售,是,8.93,9.43
2022-03-27,102900011032640,姬菇(2),食用菌,0.177,13.9,销售,是,8.93,9.43
2022-03-29,102900011032640,姬菇(2),食用菌,0.202,11.9,销售,是,8.92,9.43
