日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-25,102900011031995,姬菇(份),食用菌,1.0,2.9,销售,否,1.61,9.43
2022-01-25,102900011031995,姬菇(份),食用菌,1.0,2.0,销售,是,1.61,9.43
2022-01-25,102900011031995,姬菇(份),食用菌,1.0,2.0,销售,是,1.61,9.43
2022-02-08,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.32,9.43
2022-02-08,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.32,9.43
2022-02-08,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.32,9.43
2022-02-08,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.32,9.43
2022-02-09,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.25,9.43
2022-02-09,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.25,9.43
2022-02-09,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.25,9.43
2022-02-09,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.25,9.43
2022-02-09,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.25,9.43
2022-02-10,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.02,9.43
2022-02-10,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.02,9.43
2022-02-10,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.02,9.43
2022-02-10,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.02,9.43
2022-02-10,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.02,9.43
2022-02-11,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.22,9.43
2022-02-11,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.22,9.43
2022-02-12,102900011031995,姬菇(份),食用菌,1.0,2.1,销售,是,2.22,9.43
2022-02-12,102900011031995,姬菇(份),食用菌,1.0,2.1,销售,是,2.22,9.43
2022-02-12,102900011031995,姬菇(份),食用菌,1.0,2.1,销售,是,2.22,9.43
2022-02-14,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.34,9.43
2022-02-15,102900011031995,姬菇(份),食用菌,1.0,3.5,销售,否,2.34,9.43
2022-02-16,102900011031995,姬菇(份),食用菌,1.0,2.1,销售,是,2.34,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.67,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.67,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.67,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.67,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.67,9.43
2022-07-15,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.67,9.43
2022-07-19,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.57,9.43
2022-07-19,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.57,9.43
2022-07-19,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.57,9.43
2022-07-20,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.56,9.43
2022-07-20,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.56,9.43
2022-07-20,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.56,9.43
2022-07-20,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.56,9.43
2022-07-21,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.52,9.43
2022-07-21,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.52,9.43
2022-07-21,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.52,9.43
2022-07-22,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.52,9.43
2022-07-22,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.52,9.43
2022-07-22,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,1.52,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.06,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.06,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.06,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.06,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.06,9.43
2022-07-23,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.06,9.43
2022-07-24,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.97,9.43
2022-07-24,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.97,9.43
2022-07-24,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.97,9.43
2022-07-25,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.83,9.43
2022-07-26,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-26,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-26,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.14,9.43
2022-07-27,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.22,9.43
2022-07-27,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.22,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.14,9.43
2022-07-28,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.14,9.43
2022-07-29,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,2.15,9.43
2022-07-29,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.15,9.43
2022-07-30,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.09,9.43
2022-07-30,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.09,9.43
2022-07-30,102900011031995,姬菇(份),食用菌,1.0,2.3,销售,是,2.09,9.43
2022-08-01,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.99,9.43
2022-08-01,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.99,9.43
2022-08-01,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.99,9.43
2022-08-01,102900011031995,姬菇(份),食用菌,1.0,3.9,销售,否,1.99,9.43
