单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011001806,姬菇(包),食用菌,16:09:02.436,1.0,5.9,销售,否,2020-07-16,3.1
102900011001806,姬菇(包),食用菌,16:43:35.155,1.0,5.9,销售,否,2020-07-16,3.1
102900011001806,姬菇(包),食用菌,18:35:57.560,1.0,5.9,销售,否,2020-07-16,3.1
102900011001806,姬菇(包),食用菌,21:35:52.983,1.0,5.9,销售,否,2020-07-16,3.1
102900011001806,姬菇(包),食用菌,16:29:53.783,1.0,5.9,销售,否,2020-07-17,3.08
102900011001806,姬菇(包),食用菌,17:41:38.007,1.0,5.9,销售,否,2020-07-17,3.08
102900011001806,姬菇(包),食用菌,09:52:19.624,1.0,5.9,销售,否,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,11:31:36.905,1.0,5.9,销售,否,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,11:40:59.530,1.0,5.3,销售,是,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,13:49:14.811,1.0,5.9,销售,否,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,15:23:51.608,1.0,5.5,销售,是,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,17:25:35.264,1.0,5.9,销售,否,2020-07-18,3.09
102900011001806,姬菇(包),食用菌,10:40:52.826,1.0,5.9,销售,否,2020-07-19,3.12
102900011001806,姬菇(包),食用菌,11:42:30.501,1.0,5.9,销售,否,2020-07-19,3.12
102900011001806,姬菇(包),食用菌,11:42:30.557,1.0,5.9,销售,否,2020-07-19,3.12
102900011001806,姬菇(包),食用菌,13:56:18.451,1.0,5.9,销售,否,2020-07-20,3.13
102900011001806,姬菇(包),食用菌,17:13:54.155,1.0,5.1,销售,是,2020-07-20,3.13
102900011001806,姬菇(包),食用菌,18:15:54.411,1.0,5.9,销售,否,2020-07-20,3.13
102900011001806,姬菇(包),食用菌,20:20:32.498,1.0,5.9,销售,否,2020-07-20,3.13
102900011001806,姬菇(包),食用菌,20:23:38.144,1.0,5.9,销售,否,2020-07-20,3.13
102900011001806,姬菇(包),食用菌,09:34:27.867,1.0,5.9,销售,否,2020-07-21,3.14
102900011001806,姬菇(包),食用菌,10:21:34.321,1.0,5.9,销售,否,2020-07-21,3.14
102900011001806,姬菇(包),食用菌,18:09:45.218,1.0,5.4,销售,是,2020-07-21,3.14
102900011001806,姬菇(包),食用菌,18:33:00.906,1.0,5.9,销售,否,2020-07-21,3.14
102900011001806,姬菇(包),食用菌,09:48:33.280,1.0,5.9,销售,否,2020-07-22,3.16
102900011001806,姬菇(包),食用菌,10:50:48.063,1.0,5.9,销售,否,2020-07-22,3.16
102900011001806,姬菇(包),食用菌,18:12:07.934,1.0,5.9,销售,否,2020-07-22,3.16
102900011001806,姬菇(包),食用菌,18:20:46.260,1.0,5.9,销售,否,2020-07-22,3.16
102900011001806,姬菇(包),食用菌,09:40:01.910,1.0,5.9,销售,否,2020-07-23,3.2
102900011001806,姬菇(包),食用菌,11:25:56.199,1.0,5.9,销售,否,2020-07-23,3.2
