日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.4,销售,是,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-01,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.13,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.1,销售,是,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,2.0,6.5,销售,是,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.5,销售,是,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.5,销售,是,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.3,销售,是,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.11,2.48
2020-07-02,102900005118831,娃娃菜,花叶类,1.0,6.3,销售,是,4.11,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.5,销售,是,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,-1.0,6.9,退货,否,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.5,销售,是,4.05,2.48
2020-07-03,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.05,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,5.6,销售,是,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-04,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.09,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.3,销售,是,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
2020-07-05,102900005118831,娃娃菜,花叶类,1.0,6.9,销售,否,4.1,2.48
