日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005115793,小白菜,花叶类,0.426,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.432,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.451,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.313,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.451,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.357,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.388,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.369,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.313,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.344,16.0,销售,否,9.24,7.59
2020-07-01,102900005115793,小白菜,花叶类,0.444,16.0,销售,否,9.24,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.463,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.801,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.419,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.376,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.513,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.482,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.438,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.676,16.0,销售,否,9.19,7.59
2020-07-02,102900005115793,小白菜,花叶类,0.382,16.0,销售,否,9.19,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.551,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.469,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.476,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.463,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.376,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.382,16.0,销售,否,9.2,7.59
2020-07-03,102900005115793,小白菜,花叶类,0.382,16.0,销售,否,9.2,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.407,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.363,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.732,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.394,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.507,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.457,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.319,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.407,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,1.033,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.394,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.507,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.382,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.438,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.35,16.0,销售,否,9.16,7.59
2020-07-04,102900005115793,小白菜,花叶类,0.401,16.0,销售,否,9.16,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.357,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.344,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.338,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.35,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.651,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.363,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.338,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.382,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.319,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.369,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.507,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.338,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.313,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.67,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.494,16.0,销售,否,9.23,7.59
2020-07-06,102900005115793,小白菜,花叶类,0.363,16.0,销售,否,9.23,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.814,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.407,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.413,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.401,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.745,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.344,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.751,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.745,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.413,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.407,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.319,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.444,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.332,16.0,销售,否,9.9,7.59
2020-07-07,102900005115793,小白菜,花叶类,0.394,16.0,销售,否,9.9,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.432,16.0,销售,否,10.42,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.319,16.0,销售,否,10.42,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.369,16.0,销售,否,10.42,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.3,16.0,销售,否,10.42,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.369,16.0,销售,否,10.42,7.59
2020-07-08,102900005115793,小白菜,花叶类,0.35,16.0,销售,否,10.42,7.59
