日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-15,102900011027479,小皱皮,辣椒类,0.175,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.501,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.226,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.263,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.226,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.288,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.326,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.301,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.226,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.1,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.213,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.238,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.226,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.263,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.226,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.138,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.276,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.351,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.338,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.113,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.313,8.0,销售,否,4.78,8.71
2021-07-15,102900011027479,小皱皮,辣椒类,0.351,8.0,销售,否,4.78,8.71
