日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-20,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,4.54,9.43
2021-12-20,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,4.54,9.43
2021-12-21,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,4.54,9.43
2021-12-23,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.92,9.43
2021-12-23,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.92,9.43
2021-12-23,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.92,9.43
2021-12-23,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.92,9.43
2021-12-23,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.92,9.43
2021-12-24,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.7,9.43
2021-12-24,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.7,9.43
2021-12-24,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.7,9.43
2021-12-24,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.7,9.43
2021-12-24,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.7,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-25,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.68,9.43
2021-12-26,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.67,9.43
2021-12-26,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.67,9.43
2021-12-26,102900011031100,小米椒(份),辣椒类,1.0,6.9,销售,否,3.67,9.43
