日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005125808,小米椒,辣椒类,0.182,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.058,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.147,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.159,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.12,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.089,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.031,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.047,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.182,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.078,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.128,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.05,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.027,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.089,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.256,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.089,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.085,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.074,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.132,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.078,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.058,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.128,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.07,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.116,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.043,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.085,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.093,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.058,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.093,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.105,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.054,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.019,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.151,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.07,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.116,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.039,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.081,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.198,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.05,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.159,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.19,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.035,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.143,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.027,25.8,销售,否,12.1,5.86
2020-07-01,102900005125808,小米椒,辣椒类,0.101,25.8,销售,否,12.1,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.07,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.07,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.085,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.058,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.043,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.043,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.066,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.008,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.163,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.035,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.101,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.194,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.05,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.109,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.085,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.426,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.058,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.291,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.078,25.8,销售,否,12.13,5.86
2020-07-02,102900005125808,小米椒,辣椒类,0.078,25.8,销售,否,12.13,5.86
