单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011023464,小青菜(1),花叶类,09:21:54.530,0.589,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,09:26:36.449,0.201,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,09:42:58.326,0.56,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,09:53:24.230,0.259,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,09:58:15.217,0.489,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:19:58.106,0.359,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:37:04.493,0.172,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:37:57.471,0.345,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:40:48.089,0.302,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:44:30.967,0.316,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,10:54:03.764,0.331,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,11:12:30.717,0.331,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:03:00.623,0.23,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:04:08.194,0.23,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:15:17.506,0.359,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:24:30.139,0.632,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:28:51.103,0.23,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,12:39:20.004,0.187,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,15:32:51.837,0.316,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,16:08:48.208,0.187,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,16:48:32.186,0.144,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,16:51:20.508,0.302,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,17:20:40.366,0.79,7.0,销售,否,2021-08-28,5.02
102900011023464,小青菜(1),花叶类,09:32:20.608,0.465,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,09:32:50.452,0.314,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,09:35:57.025,0.867,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,09:44:03.498,0.452,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,10:15:18.905,0.364,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,10:15:52.686,0.364,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,10:49:12.670,0.314,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,11:10:17.709,0.251,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,12:10:33.799,0.327,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,12:20:58.545,0.465,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,14:07:36.834,0.188,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,14:47:19.437,0.075,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,16:02:57.451,0.452,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,16:03:19.780,0.314,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,16:36:25.053,0.327,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,17:04:31.639,0.176,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,17:08:36.878,0.289,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,17:15:56.076,0.364,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,17:49:15.358,0.226,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,18:00:32.764,0.528,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,18:19:56.142,0.302,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,18:20:07.513,0.276,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,18:43:30.205,0.553,8.0,销售,否,2021-08-30,5.51
102900011023464,小青菜(1),花叶类,09:31:33.811,0.766,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,09:32:40.030,0.641,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:03:21.914,0.176,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:03:55.513,0.377,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:05:47.936,0.264,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:22:58.765,0.163,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:24:48.217,0.251,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:48:26.209,0.113,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,10:49:59.441,0.264,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,11:02:06.045,0.314,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,11:52:44.757,0.264,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,12:03:49.280,0.528,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,12:48:13.327,0.151,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,13:45:10.514,0.829,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,13:47:45.405,0.214,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,14:47:29.936,0.465,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,15:18:30.728,0.364,8.0,销售,否,2021-08-31,5.89
102900011023464,小青菜(1),花叶类,15:36:56.733,0.163,8.0,销售,否,2021-08-31,5.89
