单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011034224,小青菜(份),花叶类,09:26:13.763,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,09:26:13.929,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,10:04:45.326,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,10:04:47.670,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,10:27:35.733,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,14:54:12.578,1.0,1.9,销售,否,2022-04-18,0.59
102900011034224,小青菜(份),花叶类,21:38:28.517,1.0,1.9,销售,否,2022-04-20,1.12
102900011034224,小青菜(份),花叶类,09:52:21.233,1.0,1.9,销售,否,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,10:15:45.017,1.0,1.9,销售,否,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,10:53:54.431,1.0,1.9,销售,否,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,16:54:26.633,1.0,1.9,销售,否,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,16:57:22.576,1.0,1.9,销售,否,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,19:42:12.108,1.0,1.3,销售,是,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,19:46:59.498,1.0,1.3,销售,是,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,20:41:09.857,1.0,1.3,销售,是,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,21:16:08.162,1.0,1.3,销售,是,2022-04-21,0.71
102900011034224,小青菜(份),花叶类,10:14:45.733,1.0,1.9,销售,否,2022-04-22,0.59
102900011034224,小青菜(份),花叶类,15:30:57.342,1.0,1.9,销售,否,2022-04-23,0.68
102900011034224,小青菜(份),花叶类,18:09:40.717,1.0,1.9,销售,否,2022-04-23,0.68
102900011034224,小青菜(份),花叶类,11:33:38.155,1.0,1.9,销售,否,2022-04-24,0.68
102900011034224,小青菜(份),花叶类,15:40:08.280,1.0,1.9,销售,否,2022-04-24,0.68
102900011034224,小青菜(份),花叶类,16:22:05.311,1.0,1.9,销售,否,2022-04-24,0.68
102900011034224,小青菜(份),花叶类,16:22:13.701,1.0,1.9,销售,否,2022-04-24,0.68
102900011034224,小青菜(份),花叶类,12:01:52.045,1.0,1.9,销售,否,2022-04-25,0.68
102900011034224,小青菜(份),花叶类,14:50:50.234,1.0,1.9,销售,否,2022-04-25,0.68
102900011034224,小青菜(份),花叶类,19:45:56.030,1.0,1.3,销售,是,2022-04-25,0.68
102900011034224,小青菜(份),花叶类,11:06:20.126,1.0,1.9,销售,否,2022-04-26,0.59
102900011034224,小青菜(份),花叶类,11:06:20.333,1.0,1.9,销售,否,2022-04-26,0.59
102900011034224,小青菜(份),花叶类,11:59:20.111,1.0,1.9,销售,否,2022-04-26,0.59
102900011034224,小青菜(份),花叶类,20:18:35.061,1.0,1.3,销售,是,2022-04-26,0.59
102900011034224,小青菜(份),花叶类,21:14:38.608,1.0,1.3,销售,是,2022-04-26,0.59
102900011034224,小青菜(份),花叶类,10:37:28.659,1.0,1.9,销售,否,2022-04-27,0.59
102900011034224,小青菜(份),花叶类,18:20:52.574,1.0,1.9,销售,否,2022-04-27,0.59
