日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-07,102900005116837,平菇,食用菌,0.424,13.0,销售,否,8.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.361,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.391,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.17,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.251,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.2,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.15,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.21,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.17,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.251,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.15,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.321,10.0,销售,否,4.0,11.6
2020-09-11,102900005116837,平菇,食用菌,0.641,10.0,销售,否,4.0,11.6
2020-09-15,102900005116837,平菇,食用菌,0.531,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.501,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.451,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.15,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.14,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.291,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.291,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.22,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.331,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.341,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.281,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.18,10.0,销售,否,5.6,11.6
2020-09-15,102900005116837,平菇,食用菌,0.281,10.0,销售,否,5.6,11.6
2020-09-16,102900005116837,平菇,食用菌,0.309,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.25,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.159,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.267,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.192,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.225,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.184,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.175,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.15,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.317,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.192,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.167,12.0,销售,否,5.77,11.6
2020-09-16,102900005116837,平菇,食用菌,0.2,12.0,销售,否,5.77,11.6
2020-09-17,102900005116837,平菇,食用菌,0.25,12.0,销售,否,5.79,11.6
2020-09-17,102900005116837,平菇,食用菌,0.267,12.0,销售,否,5.79,11.6
2020-09-17,102900005116837,平菇,食用菌,0.242,12.0,销售,否,5.79,11.6
2020-09-17,102900005116837,平菇,食用菌,0.167,12.0,销售,否,5.79,11.6
2020-09-17,102900005116837,平菇,食用菌,0.184,12.0,销售,否,5.79,11.6
2020-09-17,102900005116837,平菇,食用菌,0.234,12.0,销售,否,5.79,11.6
