日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-24,102900011033081,春菜,花叶类,0.638,6.0,销售,否,3.24,29.03
2022-03-25,102900011033081,春菜,花叶类,0.47,6.0,销售,否,3.25,29.03
2022-03-25,102900011033081,春菜,花叶类,0.47,6.0,销售,否,3.25,29.03
2022-03-25,102900011033081,春菜,花叶类,0.587,6.0,销售,否,3.25,29.03
2022-03-26,102900011033081,春菜,花叶类,0.503,6.0,销售,否,3.25,29.03
2022-03-26,102900011033081,春菜,花叶类,0.436,6.0,销售,否,3.25,29.03
2022-03-26,102900011033081,春菜,花叶类,0.436,6.0,销售,否,3.25,29.03
2022-03-26,102900011033081,春菜,花叶类,0.352,6.0,销售,否,3.25,29.03
2022-03-27,102900011033081,春菜,花叶类,0.604,6.0,销售,否,3.25,29.03
2022-03-27,102900011033081,春菜,花叶类,0.52,6.0,销售,否,3.25,29.03
2022-03-29,102900011033081,春菜,花叶类,0.503,6.0,销售,否,3.25,29.03
2022-03-29,102900011033081,春菜,花叶类,0.52,6.0,销售,否,3.25,29.03
2022-03-29,102900011033081,春菜,花叶类,0.453,6.0,销售,否,3.25,29.03
2022-03-29,102900011033081,春菜,花叶类,0.487,6.0,销售,否,3.25,29.03
2022-03-31,102900011033081,春菜,花叶类,0.402,7.0,销售,否,3.2,29.03
2022-04-04,102900011033081,春菜,花叶类,0.647,7.0,销售,否,4.06,29.03
2022-04-05,102900011033081,春菜,花叶类,0.46,7.0,销售,否,4.07,29.03
2022-04-05,102900011033081,春菜,花叶类,0.474,7.0,销售,否,4.07,29.03
2022-04-06,102900011033081,春菜,花叶类,0.316,7.0,销售,否,4.07,29.03
2022-04-08,102900011033081,春菜,花叶类,0.364,8.0,销售,否,4.28,29.03
2022-04-09,102900011033081,春菜,花叶类,0.276,8.0,销售,否,4.28,29.03
2022-04-09,102900011033081,春菜,花叶类,0.465,8.0,销售,否,4.28,29.03
2022-04-09,102900011033081,春菜,花叶类,0.691,8.0,销售,否,4.28,29.03
2022-04-10,102900011033081,春菜,花叶类,0.817,8.0,销售,否,4.28,29.03
2022-04-10,102900011033081,春菜,花叶类,0.842,8.0,销售,否,4.28,29.03
2022-04-11,102900011033081,春菜,花叶类,0.364,8.0,销售,否,4.5,29.03
2022-04-11,102900011033081,春菜,花叶类,0.465,8.0,销售,否,4.5,29.03
2022-04-13,102900011033081,春菜,花叶类,0.465,8.0,销售,否,5.0,29.03
2022-04-13,102900011033081,春菜,花叶类,1.307,8.0,销售,否,5.0,29.03
2022-04-13,102900011033081,春菜,花叶类,1.721,8.0,销售,否,5.0,29.03
2022-04-13,102900011033081,春菜,花叶类,0.528,8.0,销售,否,5.0,29.03
2022-04-14,102900011033081,春菜,花叶类,0.591,8.0,销售,否,5.0,29.03
2022-04-15,102900011033081,春菜,花叶类,0.766,8.0,销售,否,5.0,29.03
2022-04-17,102900011033081,春菜,花叶类,0.515,8.0,销售,否,5.12,29.03
2022-04-18,102900011033081,春菜,花叶类,1.508,8.0,销售,否,5.32,29.03
2022-04-18,102900011033081,春菜,花叶类,0.415,8.0,销售,否,5.32,29.03
2022-04-19,102900011033081,春菜,花叶类,2.06,8.0,销售,否,5.32,29.03
2022-04-24,102900011033081,春菜,花叶类,0.553,8.0,销售,否,4.97,29.03
2022-04-25,102900011033081,春菜,花叶类,0.364,8.0,销售,否,4.97,29.03
2022-05-01,102900011033081,春菜,花叶类,0.641,8.0,销售,否,4.96,29.03
