日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2023-05-15,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,3.25,9.43
2023-05-19,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,3.13,9.43
2023-05-23,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,2.91,9.43
2023-05-27,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,2.18,9.43
2023-05-28,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,2.04,9.43
2023-06-01,102900011036686,木耳菜(份),花叶类,1.0,2.9,销售,是,2.55,9.43
2023-06-03,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,2.13,9.43
2023-06-04,102900011036686,木耳菜(份),花叶类,1.0,4.9,销售,否,2.42,9.43
2023-06-05,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,2.74,9.43
2023-06-07,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,2.6,9.43
2023-06-07,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,2.6,9.43
2023-06-09,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,2.09,9.43
2023-06-09,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,2.09,9.43
2023-06-10,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2023-06-11,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,2.3,9.43
2023-06-13,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,2.74,9.43
2023-06-14,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,2.34,9.43
2023-06-15,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,2.44,9.43
2023-06-16,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,1.83,9.43
2023-06-17,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,1.76,9.43
2023-06-18,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,1.25,9.43
2023-06-19,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,1.34,9.43
2023-06-21,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,1.37,9.43
2023-06-23,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,1.22,9.43
2023-06-27,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,是,1.46,9.43
2023-06-29,102900011036686,木耳菜(份),花叶类,1.0,2.3,销售,是,1.71,9.43
2023-06-30,102900011036686,木耳菜(份),花叶类,1.0,3.9,销售,否,1.53,9.43
