日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005115946,木耳菜,花叶类,0.344,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.344,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.459,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.33,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.287,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.33,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.315,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.315,7.0,销售,否,4.2,7.61
2020-07-01,102900005115946,木耳菜,花叶类,0.315,7.0,销售,否,4.2,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.358,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.416,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.516,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.401,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.731,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.344,7.0,销售,否,4.23,7.61
2020-07-02,102900005115946,木耳菜,花叶类,0.358,7.0,销售,否,4.23,7.61
2020-07-03,102900005115946,木耳菜,花叶类,0.63,7.0,销售,否,4.3,7.61
2020-07-03,102900005115946,木耳菜,花叶类,0.186,7.0,销售,否,4.3,7.61
2020-07-03,102900005115946,木耳菜,花叶类,0.659,7.0,销售,否,4.3,7.61
2020-07-03,102900005115946,木耳菜,花叶类,0.401,7.0,销售,否,4.3,7.61
2020-07-03,102900005115946,木耳菜,花叶类,0.43,7.0,销售,否,4.3,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.301,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.587,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.301,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.287,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.616,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.602,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.301,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.201,7.0,销售,否,4.28,7.61
2020-07-04,102900005115946,木耳菜,花叶类,0.301,7.0,销售,否,4.28,7.61
