日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-10-06,102900005118572,本地上海青,花叶类,0.368,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.284,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.535,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.585,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.05,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.351,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.334,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.418,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.284,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.468,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.502,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.401,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.217,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.585,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.552,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.217,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.435,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.452,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.502,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.452,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.652,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.334,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.217,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.418,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.636,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.234,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.251,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.736,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.452,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.234,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.318,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.736,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.301,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.368,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.535,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.184,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.401,6.0,销售,否,3.6,11.99
2020-10-06,102900005118572,本地上海青,花叶类,0.502,6.0,销售,否,3.6,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.235,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.336,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.537,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.671,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.47,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.705,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.537,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.503,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.403,3.0,销售,否,1.8,11.99
2021-04-19,102900005118572,本地上海青,花叶类,0.269,3.0,销售,否,1.8,11.99
