日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.189,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.168,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.315,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,2.6,0.18
2022-09-28,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,2.6,0.18
2022-09-29,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,2.6,0.18
2022-09-29,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,2.6,0.18
2022-10-01,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,2.6,0.18
2022-10-01,102900005115625,本地小毛白菜,花叶类,0.378,4.8,销售,否,2.6,0.18
2022-10-01,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,2.6,0.18
2022-10-01,102900005115625,本地小毛白菜,花叶类,0.189,4.8,销售,否,2.6,0.18
2022-10-01,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,2.6,0.18
2022-10-02,102900005115625,本地小毛白菜,花叶类,0.504,4.8,销售,否,2.7,0.18
2022-10-02,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,2.7,0.18
2022-10-02,102900005115625,本地小毛白菜,花叶类,0.546,4.8,销售,否,2.7,0.18
2022-10-02,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,2.7,0.18
2022-10-02,102900005115625,本地小毛白菜,花叶类,0.483,4.8,销售,否,2.7,0.18
2022-10-03,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,3.0,0.18
2022-10-03,102900005115625,本地小毛白菜,花叶类,0.168,4.8,销售,否,3.0,0.18
2022-10-03,102900005115625,本地小毛白菜,花叶类,0.189,4.8,销售,否,3.0,0.18
2022-10-03,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,3.0,0.18
2022-10-04,102900005115625,本地小毛白菜,花叶类,0.609,4.8,销售,否,3.0,0.18
2022-10-04,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,3.0,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.546,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.441,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.315,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.273,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.483,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,1.029,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.147,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.189,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.315,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.441,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.336,4.8,销售,否,3.97,0.18
2022-10-05,102900005115625,本地小毛白菜,花叶类,0.168,4.8,销售,否,3.97,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.294,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.504,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.483,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.504,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.294,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.273,4.8,销售,否,4.0,0.18
2022-10-06,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.294,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.273,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.294,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.483,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.567,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.588,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.21,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.525,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.231,4.8,销售,否,4.0,0.18
2022-10-08,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,4.0,0.18
2022-10-13,102900005115625,本地小毛白菜,花叶类,0.546,4.8,销售,否,4.0,0.18
2022-10-13,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,4.0,0.18
2022-10-13,102900005115625,本地小毛白菜,花叶类,0.378,4.8,销售,否,4.0,0.18
2022-10-13,102900005115625,本地小毛白菜,花叶类,0.567,4.8,销售,否,4.0,0.18
2022-10-14,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,4.02,0.18
2022-10-14,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,4.02,0.18
2022-10-14,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,4.02,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.483,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.588,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.42,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.252,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.525,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.336,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.462,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.399,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.336,4.8,销售,否,3.9,0.18
2022-10-15,102900005115625,本地小毛白菜,花叶类,0.189,4.8,销售,否,3.9,0.18
