日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.477,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.226,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.503,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.302,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.302,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.352,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.528,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.503,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.528,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.377,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.477,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.352,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.276,4.0,销售,否,2.4,6.73
2021-02-05,102900011022849,本地黄心油菜,花叶类,0.327,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.452,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.452,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.477,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.754,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.377,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.452,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.377,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.226,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.678,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.503,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.452,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.402,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.377,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.327,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.452,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.201,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.226,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.503,4.0,销售,否,2.4,6.73
2021-02-06,102900011022849,本地黄心油菜,花叶类,0.754,4.0,销售,否,2.4,6.73
