日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.261,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.21,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.441,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.611,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.411,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.992,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.411,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.421,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.311,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.461,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.501,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.461,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.12,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.16,5.05
2020-07-01,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.16,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.351,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.311,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.621,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.18,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.461,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.21,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.561,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.21,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.341,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.531,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.13,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.421,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.381,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.17,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.231,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.17,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.13,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.691,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.511,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.15,5.05
2020-07-02,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.15,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.261,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.461,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.19,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.321,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.19,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.361,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.311,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.351,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.451,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.14,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.501,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.782,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.12,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.17,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.481,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.361,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.32,5.05
2020-07-03,102900005125815,杏鲍菇(1),食用菌,0.361,10.0,销售,否,6.32,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.21,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.411,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.271,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.12,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.341,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.331,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.411,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.471,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.331,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.261,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.19,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.22,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.471,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.331,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.15,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.501,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.311,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.241,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.401,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.411,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.2,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.321,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.421,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.0,5.05
2020-07-04,102900005125815,杏鲍菇(1),食用菌,0.301,10.0,销售,否,6.0,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.19,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.351,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.291,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.431,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.19,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.281,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.21,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.371,10.0,销售,否,6.16,5.05
2020-07-05,102900005125815,杏鲍菇(1),食用菌,0.251,10.0,销售,否,6.16,5.05
