日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-07-05,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.95,9.43
2021-07-05,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.95,9.43
2021-07-05,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.95,9.43
2021-07-18,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.8,9.43
2021-07-18,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.8,9.43
2021-07-18,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,2.8,9.43
2021-09-22,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,3.29,9.43
2021-09-23,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,3.3,9.43
2021-10-06,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,3.15,9.43
2021-10-06,102900011026793,杏鲍菇(250克),食用菌,1.0,4.9,销售,否,3.15,9.43
