日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-06,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-07,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.45,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-08,102900011031599,杏鲍菇(份),食用菌,1.0,2.5,销售,否,1.44,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.27,9.43
2022-01-09,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.27,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,3.9,销售,否,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.2,9.43
2022-01-11,102900011031599,杏鲍菇(份),食用菌,1.0,2.3,销售,是,1.2,9.43
