日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-08-07,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-07,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-07,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-07,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-07,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-08,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-08,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-08,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-08,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-08,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-09,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-09,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-09,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-09,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-08-09,102900011012994,杏鲍菇(袋),食用菌,1.0,5.9,销售,否,2.94,10.03
2020-09-25,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-25,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-25,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-26,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-26,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-27,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-27,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-29,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.66,10.03
2020-09-30,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.57,10.03
2020-09-30,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.57,10.03
2020-09-30,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.57,10.03
2020-10-01,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-01,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-02,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.42,10.03
2020-10-03,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-03,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-03,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-03,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-04,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.41,10.03
2020-10-04,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.41,10.03
2020-10-04,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.41,10.03
2020-10-04,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.41,10.03
2020-10-04,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.41,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-05,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.4,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-06,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-07,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-07,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-07,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.36,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-08,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-09,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.39,10.03
2020-10-10,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-10,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-10,102900011012994,杏鲍菇(袋),食用菌,1.0,6.9,销售,否,3.46,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-11,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.08,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
2020-10-12,102900011012994,杏鲍菇(袋),食用菌,1.0,4.9,销售,否,3.0,10.03
