日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-17,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.95,9.43
2021-12-17,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.95,9.43
2021-12-17,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.95,9.43
2021-12-17,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.95,9.43
2021-12-19,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2021-12-19,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2021-12-19,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2021-12-19,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2021-12-22,102900011030042,枝江红菜苔(份),花叶类,1.0,2.0,销售,是,0.88,9.43
2021-12-22,102900011030042,枝江红菜苔(份),花叶类,1.0,2.0,销售,是,0.88,9.43
2021-12-24,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-24,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-24,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.15,9.43
2021-12-24,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.15,9.43
2021-12-25,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.31,9.43
2021-12-25,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.31,9.43
2021-12-25,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.31,9.43
2021-12-25,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.31,9.43
2021-12-26,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.3,9.43
2021-12-26,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.3,9.43
2021-12-26,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.3,9.43
2021-12-27,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-27,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-27,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-28,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-28,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-28,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-28,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-29,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.27,9.43
2021-12-29,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.27,9.43
2021-12-29,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.27,9.43
2021-12-29,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.27,9.43
2021-12-30,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-30,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-30,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.29,9.43
2021-12-30,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.29,9.43
2021-12-31,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.22,9.43
2021-12-31,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.22,9.43
2021-12-31,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.22,9.43
2021-12-31,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.22,9.43
2021-12-31,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.22,9.43
2022-01-01,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2022-01-01,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.2,9.43
2022-01-01,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.2,9.43
2022-01-01,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.2,9.43
2022-01-02,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.35,9.43
2022-01-02,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.35,9.43
2022-01-02,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.35,9.43
2022-01-02,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.35,9.43
2022-01-03,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.6,9.43
2022-01-03,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.6,9.43
2022-01-03,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.6,9.43
2022-01-03,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.6,9.43
2022-01-04,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-04,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-04,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-05,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-05,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-05,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-05,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-05,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-06,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-06,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-06,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-07,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-07,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-07,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.85,9.43
2022-01-08,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.88,9.43
2022-01-08,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.88,9.43
2022-01-08,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.88,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.9,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.9,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.9,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.9,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.9,9.43
2022-01-09,102900011030042,枝江红菜苔(份),花叶类,1.0,1.7,销售,是,1.9,9.43
2022-01-10,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.4,9.43
2022-01-10,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.4,9.43
2022-01-10,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.4,9.43
2022-01-10,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,1.4,9.43
2022-01-11,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,0.9,9.43
2022-01-11,102900011030042,枝江红菜苔(份),花叶类,1.0,2.9,销售,否,0.9,9.43
