日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-10-26,102900005122654,枝江红菜苔,花叶类,0.374,19.8,销售,否,10.23,11.38
2020-10-26,102900005122654,枝江红菜苔,花叶类,0.364,19.8,销售,否,10.23,11.38
2020-10-26,102900005122654,枝江红菜苔,花叶类,0.333,19.8,销售,否,10.23,11.38
2020-10-26,102900005122654,枝江红菜苔,花叶类,0.354,19.8,销售,否,10.23,11.38
2020-10-27,102900005122654,枝江红菜苔,花叶类,0.258,19.8,销售,否,10.23,11.38
2020-10-27,102900005122654,枝江红菜苔,花叶类,0.202,19.8,销售,否,10.23,11.38
2020-10-27,102900005122654,枝江红菜苔,花叶类,0.258,19.8,销售,否,10.23,11.38
2020-10-27,102900005122654,枝江红菜苔,花叶类,0.237,19.8,销售,否,10.23,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.2,16.0,销售,否,11.06,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.225,16.0,销售,否,11.06,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.188,16.0,销售,否,11.06,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.182,16.0,销售,否,11.06,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.219,16.0,销售,否,11.06,11.38
2020-10-28,102900005122654,枝江红菜苔,花叶类,0.244,16.0,销售,否,11.06,11.38
2020-10-29,102900005122654,枝江红菜苔,花叶类,0.209,12.0,销售,否,11.29,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.241,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.261,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.291,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.271,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.251,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.301,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.291,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.281,10.0,销售,否,8.24,11.38
2020-10-30,102900005122654,枝江红菜苔,花叶类,0.22,10.0,销售,否,8.24,11.38
2020-10-31,102900005122654,枝江红菜苔,花叶类,0.261,10.0,销售,否,5.6,11.38
