日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.67,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.74,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.615,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.531,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.559,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,1.048,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.503,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.405,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.684,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.629,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.684,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.545,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.698,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.698,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.726,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,1.006,7.2,销售,否,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.866,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.866,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.922,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,1.173,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.838,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,1.034,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.978,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,0.712,4.3,销售,是,4.64,9.43
2022-06-29,102900011034026,枝江青梗散花,花菜类,1.215,4.3,销售,是,4.64,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.391,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.363,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.852,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.559,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.824,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.88,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.475,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.447,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.475,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,0.67,7.2,销售,否,5.02,9.43
2022-06-30,102900011034026,枝江青梗散花,花菜类,1.048,7.2,销售,否,5.02,9.43
