日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-04-16,102900011033173,槐花,花叶类,0.209,31.6,销售,否,11.14,16.8
2022-04-16,102900011033173,槐花,花叶类,0.063,31.6,销售,否,11.14,16.8
2022-04-17,102900011033173,槐花,花叶类,0.155,31.6,销售,否,11.15,16.8
2022-04-17,102900011033173,槐花,花叶类,0.073,31.6,销售,否,11.15,16.8
2022-04-25,102900011033173,槐花,花叶类,0.215,31.6,销售,否,8.65,16.8
2022-04-27,102900011033173,槐花,花叶类,0.167,19.8,销售,否,8.63,16.8
2022-04-27,102900011033173,槐花,花叶类,0.157,19.8,销售,否,8.63,16.8
2022-04-28,102900011033173,槐花,花叶类,0.157,16.0,销售,否,8.63,16.8
2022-04-28,102900011033173,槐花,花叶类,0.376,16.0,销售,否,8.63,16.8
2022-05-01,102900011033173,槐花,花叶类,0.163,16.0,销售,否,8.63,16.8
2022-05-01,102900011033173,槐花,花叶类,0.301,16.0,销售,否,8.63,16.8
2022-05-01,102900011033173,槐花,花叶类,0.689,16.0,销售,否,8.63,16.8
2022-05-02,102900011033173,槐花,花叶类,0.15,16.0,销售,否,9.18,16.8
2022-05-02,102900011033173,槐花,花叶类,0.664,16.0,销售,否,9.18,16.8
2022-05-02,102900011033173,槐花,花叶类,0.244,16.0,销售,否,9.18,16.8
2022-05-02,102900011033173,槐花,花叶类,0.301,16.0,销售,否,9.18,16.8
2022-05-03,102900011033173,槐花,花叶类,0.082,16.0,销售,否,9.89,16.8
2022-05-04,102900011033173,槐花,花叶类,0.207,16.0,销售,否,10.13,16.8
2022-05-04,102900011033173,槐花,花叶类,0.088,16.0,销售,否,10.13,16.8
2022-05-04,102900011033173,槐花,花叶类,0.257,16.0,销售,否,10.13,16.8
2022-05-06,102900011033173,槐花,花叶类,0.222,21.6,销售,否,10.12,16.8
2022-05-06,102900011033173,槐花,花叶类,0.097,21.6,销售,否,10.12,16.8
2022-05-07,102900011033173,槐花,花叶类,0.218,21.6,销售,否,10.14,16.8
2022-05-08,102900011033173,槐花,花叶类,0.181,21.6,销售,否,10.11,16.8
2022-05-09,102900011033173,槐花,花叶类,0.593,21.6,销售,否,12.4,16.8
2022-05-09,102900011033173,槐花,花叶类,0.509,21.6,销售,否,12.4,16.8
2022-05-09,102900011033173,槐花,花叶类,0.273,21.6,销售,否,12.4,16.8
2022-05-10,102900011033173,槐花,花叶类,0.083,21.6,销售,否,16.25,16.8
2022-05-10,102900011033173,槐花,花叶类,0.125,21.6,销售,否,16.25,16.8
2023-05-06,102900011033173,槐花,花叶类,0.313,16.0,销售,否,9.09,16.8
2023-05-06,102900011033173,槐花,花叶类,0.132,16.0,销售,否,9.09,16.8
2023-05-06,102900011033173,槐花,花叶类,0.113,16.0,销售,否,9.09,16.8
2023-05-07,102900011033173,槐花,花叶类,0.15,16.0,销售,否,9.07,16.8
2023-05-07,102900011033173,槐花,花叶类,0.107,16.0,销售,否,9.07,16.8
2023-05-10,102900011033173,槐花,花叶类,0.056,16.0,销售,否,9.08,16.8
2023-05-10,102900011033173,槐花,花叶类,0.15,16.0,销售,否,9.08,16.8
2023-05-10,102900011033173,槐花,花叶类,0.539,16.0,销售,否,9.08,16.8
2023-05-13,102900011033173,槐花,花叶类,0.276,16.0,销售,否,9.09,16.8
2023-05-13,102900011033173,槐花,花叶类,0.175,16.0,销售,否,9.09,16.8
2023-05-15,102900011033173,槐花,花叶类,0.188,16.0,销售,否,9.44,16.8
2023-05-16,102900011033173,槐花,花叶类,0.082,16.0,销售,否,11.22,16.8
