日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-17,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.7,9.43
2022-02-17,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.7,9.43
2022-02-18,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.6,9.43
2022-02-18,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.6,9.43
2022-02-18,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.6,9.43
2022-02-18,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.6,9.43
2022-02-18,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.6,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.69,9.43
2022-02-19,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.69,9.43
2022-02-20,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.77,9.43
2022-02-20,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.77,9.43
2022-02-20,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.77,9.43
2022-02-21,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.16,9.43
2022-02-21,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.16,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-22,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.73,9.43
2022-02-23,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.08,9.43
2022-02-23,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.08,9.43
2022-02-23,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.08,9.43
2022-02-23,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.08,9.43
2022-02-24,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.08,9.43
2022-02-25,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,6.08,9.43
2022-02-25,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,6.08,9.43
2022-02-25,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,6.08,9.43
2022-02-25,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,6.08,9.43
2022-02-25,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,6.08,9.43
2022-02-26,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.98,9.43
2022-02-26,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.98,9.43
2022-02-26,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.98,9.43
2022-02-26,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.98,9.43
2022-02-26,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.98,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,4.8,销售,是,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-27,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,5.87,9.43
2022-02-28,102900011032220,水果辣椒(份),辣椒类,1.0,6.9,销售,否,6.29,9.43
