日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-05,102900011029305,水果辣椒,辣椒类,0.323,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.167,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.21,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.306,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.351,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.167,39.6,销售,否,26.6,0.18
2022-02-05,102900011029305,水果辣椒,辣椒类,0.245,39.6,销售,否,26.6,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.121,19.8,销售,否,13.68,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.187,19.8,销售,否,13.68,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.283,19.8,销售,否,13.68,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.338,19.8,销售,否,13.68,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.136,19.8,销售,否,13.68,0.18
2022-07-04,102900011029305,水果辣椒,辣椒类,0.177,19.8,销售,否,13.68,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.268,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.101,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.192,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.323,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.141,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.147,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.298,19.8,销售,否,13.67,0.18
2022-07-05,102900011029305,水果辣椒,辣椒类,0.152,19.8,销售,否,13.67,0.18
2022-07-06,102900011029305,水果辣椒,辣椒类,0.131,19.8,销售,否,13.65,0.18
2022-07-06,102900011029305,水果辣椒,辣椒类,0.162,19.8,销售,否,13.65,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.258,19.8,销售,否,14.68,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.147,19.8,销售,否,14.68,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.157,19.8,销售,否,14.68,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.222,19.8,销售,否,14.68,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.116,19.8,销售,否,14.68,0.18
2022-07-07,102900011029305,水果辣椒,辣椒类,0.101,19.8,销售,否,14.68,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.172,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.242,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.04,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.157,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.313,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.035,19.8,销售,否,15.62,0.18
2022-07-08,102900011029305,水果辣椒,辣椒类,0.242,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.323,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.106,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.071,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.172,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.258,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.207,19.8,销售,否,15.62,0.18
2022-07-10,102900011029305,水果辣椒,辣椒类,0.147,19.8,销售,否,15.62,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.242,19.8,销售,否,15.63,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.399,19.8,销售,否,15.63,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.152,19.8,销售,否,15.63,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.141,19.8,销售,否,15.63,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.333,19.8,销售,否,15.63,0.18
2022-07-11,102900011029305,水果辣椒,辣椒类,0.217,19.8,销售,否,15.63,0.18
2022-07-12,102900011029305,水果辣椒,辣椒类,0.096,19.8,销售,否,15.11,0.18
2022-07-12,102900011029305,水果辣椒,辣椒类,0.152,19.8,销售,否,15.11,0.18
2022-07-12,102900011029305,水果辣椒,辣椒类,0.076,19.8,销售,否,15.11,0.18
2022-07-12,102900011029305,水果辣椒,辣椒类,0.237,19.8,销售,否,15.11,0.18
2022-07-12,102900011029305,水果辣椒,辣椒类,0.197,19.8,销售,否,15.11,0.18
2022-07-13,102900011029305,水果辣椒,辣椒类,0.056,19.8,销售,否,14.52,0.18
2022-07-13,102900011029305,水果辣椒,辣椒类,0.187,19.8,销售,否,14.52,0.18
2022-07-13,102900011029305,水果辣椒,辣椒类,0.025,19.8,销售,否,14.52,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.051,19.8,销售,否,13.58,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.222,19.8,销售,否,13.58,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.227,19.8,销售,否,13.58,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.253,19.8,销售,否,13.58,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.237,19.8,销售,否,13.58,0.18
2022-07-14,102900011029305,水果辣椒,辣椒类,0.202,19.8,销售,否,13.58,0.18
2022-07-15,102900011029305,水果辣椒,辣椒类,0.192,19.8,销售,否,13.58,0.18
2022-07-15,102900011029305,水果辣椒,辣椒类,0.308,19.8,销售,否,13.58,0.18
2022-07-15,102900011029305,水果辣椒,辣椒类,0.318,19.8,销售,否,13.58,0.18
