日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-02-25,102900051009220,油菜苔,花叶类,0.271,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.271,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.231,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.321,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.291,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.301,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.321,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.311,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.241,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.331,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.291,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.321,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.271,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.281,10.0,销售,否,5.39,10.94
2021-02-25,102900051009220,油菜苔,花叶类,0.291,10.0,销售,否,5.39,10.94
2021-03-02,102900051009220,油菜苔,花叶类,0.521,10.0,销售,否,5.39,10.94
2021-03-19,102900051009220,油菜苔,花叶类,0.501,12.0,销售,否,6.21,10.94
2021-03-21,102900051009220,油菜苔,花叶类,0.334,12.0,销售,否,6.2,10.94
2021-03-21,102900051009220,油菜苔,花叶类,0.351,12.0,销售,否,6.2,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.242,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.234,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.184,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.234,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.209,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.225,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.242,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.234,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.209,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.25,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.234,12.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.25,4.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.425,4.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.45,4.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.425,4.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.45,4.0,销售,否,6.47,10.94
2021-03-22,102900051009220,油菜苔,花叶类,0.375,4.0,销售,否,6.47,10.94
2021-03-23,102900051009220,油菜苔,花叶类,1.494,12.0,销售,否,6.78,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.359,12.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.267,12.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.309,12.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.384,12.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.359,12.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.283,6.0,销售,否,6.65,10.94
2021-03-25,102900051009220,油菜苔,花叶类,0.333,6.0,销售,否,6.65,10.94
2021-03-27,102900051009220,油菜苔,花叶类,0.225,12.0,销售,否,6.64,10.94
2021-03-27,102900051009220,油菜苔,花叶类,0.242,12.0,销售,否,6.64,10.94
2021-03-27,102900051009220,油菜苔,花叶类,0.217,12.0,销售,否,6.64,10.94
2021-03-29,102900051009220,油菜苔,花叶类,0.484,12.0,销售,否,6.65,10.94
2021-03-29,102900051009220,油菜苔,花叶类,0.885,12.0,销售,否,6.65,10.94
2021-03-29,102900051009220,油菜苔,花叶类,0.534,12.0,销售,否,6.65,10.94
2021-03-29,102900051009220,油菜苔,花叶类,0.426,12.0,销售,否,6.65,10.94
2021-03-29,102900051009220,油菜苔,花叶类,0.534,12.0,销售,否,6.65,10.94
2021-03-30,102900051009220,油菜苔,花叶类,0.543,12.0,销售,否,6.64,10.94
2021-03-30,102900051009220,油菜苔,花叶类,0.493,12.0,销售,否,6.64,10.94
2021-03-31,102900051009220,油菜苔,花叶类,0.426,12.0,销售,否,6.78,10.94
2021-03-31,102900051009220,油菜苔,花叶类,0.351,12.0,销售,否,6.78,10.94
2021-03-31,102900051009220,油菜苔,花叶类,0.359,12.0,销售,否,6.78,10.94
2021-03-31,102900051009220,油菜苔,花叶类,0.785,12.0,销售,否,6.78,10.94
2021-04-02,102900051009220,油菜苔,花叶类,0.326,12.0,销售,否,6.79,10.94
2021-04-02,102900051009220,油菜苔,花叶类,0.676,12.0,销售,否,6.79,10.94
2021-04-02,102900051009220,油菜苔,花叶类,0.292,12.0,销售,否,6.79,10.94
2021-04-02,102900051009220,油菜苔,花叶类,0.32,5.0,销售,否,6.79,10.94
2021-04-02,102900051009220,油菜苔,花叶类,0.38,5.0,销售,否,6.79,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.484,12.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.451,12.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.401,12.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.518,12.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.467,12.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.8,5.0,销售,否,7.35,10.94
2021-04-04,102900051009220,油菜苔,花叶类,0.48,5.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.376,12.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.409,12.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.351,12.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.267,12.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.283,6.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.52,5.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.28,5.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.7,5.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.46,5.0,销售,否,7.35,10.94
2021-04-05,102900051009220,油菜苔,花叶类,0.46,5.0,销售,否,7.35,10.94
2021-04-06,102900051009220,油菜苔,花叶类,0.367,12.0,销售,否,7.33,10.94
2021-04-06,102900051009220,油菜苔,花叶类,0.384,12.0,销售,否,7.33,10.94
2021-04-06,102900051009220,油菜苔,花叶类,0.417,12.0,销售,否,7.33,10.94
