日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-18,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,-1.0,9.9,退货,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-19,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-20,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-21,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-21,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-25,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-26,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-27,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-28,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-29,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-30,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-30,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
2020-12-30,102900011021842,洪湖莲藕(粉藕),水生根茎类,1.0,9.9,销售,否,7.5,11.81
