日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-07-21,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,10.8,销售,否,8.5,9.43
2022-07-21,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,10.8,销售,否,8.5,9.43
2022-07-22,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,10.8,销售,否,8.5,9.43
2022-07-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,6.5,销售,是,8.5,9.43
2022-07-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,6.5,销售,是,8.5,9.43
2022-07-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,6.5,销售,是,8.5,9.43
2022-07-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,10.8,销售,否,8.5,9.43
2022-07-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,6.5,销售,是,8.5,9.43
2022-07-27,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-07-27,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-07-27,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-07-27,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-07-28,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-07-28,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-28,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-29,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-29,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-29,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-29,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-30,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-07-30,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,7.1,销售,是,8.5,9.43
2022-08-16,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-16,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-17,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-18,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-18,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-18,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,8.3,销售,是,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,8.3,销售,是,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,8.3,销售,是,8.5,9.43
2022-08-19,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,8.3,销售,是,8.5,9.43
2022-09-23,102900011034569,洪湖莲藕(脆藕),水生根茎类,1.0,11.8,销售,否,2.0,9.43
