日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005119944,海鲜菇(1),食用菌,0.238,16.0,销售,否,10.29,9.89
2020-07-01,102900005119944,海鲜菇(1),食用菌,0.401,16.0,销售,否,10.29,9.89
2020-07-01,102900005119944,海鲜菇(1),食用菌,0.144,16.0,销售,否,10.29,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.282,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.501,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.131,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.532,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.338,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.357,16.0,销售,否,10.13,9.89
2020-07-02,102900005119944,海鲜菇(1),食用菌,0.113,16.0,销售,否,10.13,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.244,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.138,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.257,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.338,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.144,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.188,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.388,16.0,销售,否,10.05,9.89
2020-07-03,102900005119944,海鲜菇(1),食用菌,0.119,16.0,销售,否,10.05,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.163,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.207,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.257,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.156,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.119,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.182,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.125,16.0,销售,否,10.08,9.89
2020-07-04,102900005119944,海鲜菇(1),食用菌,0.169,16.0,销售,否,10.08,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.2,17.0,销售,否,10.09,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.13,17.0,销售,否,10.09,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.147,17.0,销售,否,10.09,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.33,17.0,销售,否,10.09,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.206,17.0,销售,否,10.09,9.89
2020-07-06,102900005119944,海鲜菇(1),食用菌,0.189,17.0,销售,否,10.09,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,0.13,17.0,销售,否,10.05,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,1.101,17.0,销售,否,10.05,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,0.224,17.0,销售,否,10.05,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,0.183,17.0,销售,否,10.05,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,0.242,17.0,销售,否,10.05,9.89
2020-07-07,102900005119944,海鲜菇(1),食用菌,0.336,17.0,销售,否,10.05,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.224,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.295,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.165,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.071,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.218,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.318,17.0,销售,否,10.04,9.89
2020-07-08,102900005119944,海鲜菇(1),食用菌,0.348,17.0,销售,否,10.04,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.389,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.183,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.088,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.277,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.353,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.035,17.0,销售,否,10.03,9.89
2020-07-09,102900005119944,海鲜菇(1),食用菌,0.218,17.0,销售,否,10.03,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.189,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.122,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.167,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.273,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.145,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.195,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.178,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.161,16.8,销售,是,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.172,18.0,销售,否,9.94,9.89
2020-07-10,102900005119944,海鲜菇(1),食用菌,0.139,18.0,销售,否,9.94,9.89
