单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011032633,海鲜菇(2),食用菌,12:00:51.393,0.219,16.0,销售,否,2022-03-13,8.15
102900011032633,海鲜菇(2),食用菌,15:21:39.407,0.219,16.0,销售,否,2022-03-13,8.15
102900011032633,海鲜菇(2),食用菌,16:31:25.234,0.244,16.0,销售,否,2022-03-13,8.15
102900011032633,海鲜菇(2),食用菌,12:02:18.623,0.313,16.0,销售,否,2022-03-14,8.15
102900011032633,海鲜菇(2),食用菌,12:14:05.676,0.32,16.0,销售,否,2022-03-14,8.15
102900011032633,海鲜菇(2),食用菌,13:42:58.755,0.301,16.0,销售,否,2022-03-14,8.15
102900011032633,海鲜菇(2),食用菌,18:40:29.290,0.244,16.0,销售,否,2022-03-14,8.15
102900011032633,海鲜菇(2),食用菌,12:42:00.574,0.301,16.0,销售,否,2022-03-15,8.15
102900011032633,海鲜菇(2),食用菌,20:42:22.095,0.282,16.0,销售,否,2022-03-15,8.15
102900011032633,海鲜菇(2),食用菌,09:48:59.874,0.282,16.0,销售,否,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,12:56:20.670,0.313,16.0,销售,否,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,15:41:58.831,0.301,16.0,销售,否,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,19:12:34.076,0.32,9.6,销售,是,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,20:54:19.980,0.32,9.6,销售,是,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,21:22:33.980,0.32,9.6,销售,是,2022-03-16,8.15
102900011032633,海鲜菇(2),食用菌,14:13:04.195,0.282,16.0,销售,否,2022-03-17,8.14
102900011032633,海鲜菇(2),食用菌,15:38:49.941,0.332,16.0,销售,否,2022-03-17,8.14
102900011032633,海鲜菇(2),食用菌,17:39:19.587,0.263,16.0,销售,否,2022-03-17,8.14
102900011032633,海鲜菇(2),食用菌,20:16:58.391,0.338,16.0,销售,否,2022-03-17,8.14
102900011032633,海鲜菇(2),食用菌,18:33:33.530,0.313,16.0,销售,否,2022-03-18,8.21
102900011032633,海鲜菇(2),食用菌,20:17:13.962,0.32,8.0,销售,是,2022-03-18,8.21
102900011032633,海鲜菇(2),食用菌,11:08:31.572,0.282,16.0,销售,否,2022-03-19,8.14
102900011032633,海鲜菇(2),食用菌,15:35:41.436,0.338,16.0,销售,否,2022-03-19,8.14
102900011032633,海鲜菇(2),食用菌,16:38:04.530,0.295,16.0,销售,否,2022-03-19,8.14
102900011032633,海鲜菇(2),食用菌,18:10:17.253,0.307,16.0,销售,否,2022-03-19,8.14
102900011032633,海鲜菇(2),食用菌,21:11:49.821,0.307,16.0,销售,否,2022-03-21,8.11
102900011032633,海鲜菇(2),食用菌,10:10:34.735,0.282,16.0,销售,否,2022-03-22,8.16
