日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-08,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,5.06,9.43
2022-02-08,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,5.06,9.43
2022-02-08,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-09,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,5.06,9.43
2022-02-10,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.84,9.43
2022-02-10,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.84,9.43
2022-02-10,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.84,9.43
2022-02-10,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,4.84,9.43
2022-02-10,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,4.84,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,4.5,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-11,102900011030912,海鲜菇(份),食用菌,1.0,3.8,销售,是,4.95,9.43
2022-02-14,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.4,9.43
2022-02-14,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.4,9.43
2022-02-14,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.4,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-15,102900011030912,海鲜菇(份),食用菌,1.0,7.5,销售,否,4.39,9.43
2022-02-17,102900011030912,海鲜菇(份),食用菌,1.0,4.1,销售,是,4.38,9.43
2022-06-28,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-29,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-29,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-29,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-29,102900011030912,海鲜菇(份),食用菌,1.0,2.9,销售,是,1.99,9.43
2022-06-29,102900011030912,海鲜菇(份),食用菌,1.0,2.9,销售,是,1.99,9.43
2022-06-30,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-30,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-06-30,102900011030912,海鲜菇(份),食用菌,1.0,4.9,销售,否,1.99,9.43
2022-07-15,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.18,9.43
2022-07-15,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.18,9.43
2022-07-15,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.18,9.43
2022-07-15,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.18,9.43
2022-07-15,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.18,9.43
2022-07-16,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.26,9.43
2022-07-16,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.26,9.43
2022-07-17,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.36,9.43
2022-07-17,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.36,9.43
2022-07-19,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.28,9.43
2022-07-20,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.29,9.43
2022-07-21,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.05,9.43
2022-07-21,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.05,9.43
2022-07-21,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.05,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-23,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.6,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-25,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-26,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.28,9.43
2022-07-26,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.28,9.43
2022-07-26,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.28,9.43
2022-07-26,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.28,9.43
2022-07-27,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.83,9.43
2022-07-27,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.83,9.43
2022-07-27,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.83,9.43
2022-07-27,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.83,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-28,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.68,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.77,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.77,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.77,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.77,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,2.4,销售,是,2.77,9.43
2022-07-29,102900011030912,海鲜菇(份),食用菌,1.0,2.4,销售,是,2.77,9.43
2022-07-30,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.88,9.43
2022-07-30,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.88,9.43
2022-07-31,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.8,9.43
2022-07-31,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.8,9.43
2022-07-31,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.8,9.43
2022-08-01,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.71,9.43
2022-08-01,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.71,9.43
2022-08-01,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.71,9.43
2022-08-01,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.71,9.43
2022-08-02,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.72,9.43
2022-08-02,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.72,9.43
2022-08-02,102900011030912,海鲜菇(份),食用菌,1.0,3.5,销售,是,2.72,9.43
2022-08-03,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.7,9.43
2022-08-03,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.7,9.43
2022-08-03,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.7,9.43
2022-08-04,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.75,9.43
2022-08-04,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.75,9.43
2022-08-04,102900011030912,海鲜菇(份),食用菌,1.0,5.9,销售,否,2.75,9.43
