日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-12-29,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.58,11.13
2020-12-29,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.58,11.13
2020-12-30,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.58,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2020-12-31,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.57,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-01,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-02,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.56,11.13
2021-01-03,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-03,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-03,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-03,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-04,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-05,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.55,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-06,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.53,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-07,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.59,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
2021-01-08,106958851400125,海鲜菇(袋)(4),食用菌,1.0,3.5,销售,否,2.6,11.13
