日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005123880,灯笼椒(1),辣椒类,0.376,12.0,销售,否,7.5,16.33
2020-07-01,102900005123880,灯笼椒(1),辣椒类,0.359,12.0,销售,否,7.5,16.33
2020-07-01,102900005123880,灯笼椒(1),辣椒类,0.192,12.0,销售,否,7.5,16.33
2020-07-02,102900005123880,灯笼椒(1),辣椒类,0.359,12.0,销售,否,6.46,16.33
2020-07-02,102900005123880,灯笼椒(1),辣椒类,0.342,12.0,销售,否,6.46,16.33
2020-07-02,102900005123880,灯笼椒(1),辣椒类,0.401,12.0,销售,否,6.46,16.33
2020-07-02,102900005123880,灯笼椒(1),辣椒类,0.301,12.0,销售,否,6.46,16.33
2020-07-02,102900005123880,灯笼椒(1),辣椒类,0.276,12.0,销售,否,6.46,16.33
2020-07-03,102900005123880,灯笼椒(1),辣椒类,0.342,12.0,销售,否,6.23,16.33
2020-07-03,102900005123880,灯笼椒(1),辣椒类,0.417,12.0,销售,否,6.23,16.33
2020-07-03,102900005123880,灯笼椒(1),辣椒类,0.301,12.0,销售,否,6.23,16.33
2020-07-03,102900005123880,灯笼椒(1),辣椒类,0.309,12.0,销售,否,6.23,16.33
2020-07-04,102900005123880,灯笼椒(1),辣椒类,0.292,12.0,销售,否,7.23,16.33
2020-07-04,102900005123880,灯笼椒(1),辣椒类,0.326,12.0,销售,否,7.23,16.33
2020-07-05,102900005123880,灯笼椒(1),辣椒类,0.317,12.0,销售,否,7.23,16.33
2020-07-05,102900005123880,灯笼椒(1),辣椒类,0.309,12.0,销售,否,7.23,16.33
2020-07-06,102900005123880,灯笼椒(1),辣椒类,0.359,12.0,销售,否,7.38,16.33
2020-07-06,102900005123880,灯笼椒(1),辣椒类,0.409,12.0,销售,否,7.38,16.33
2020-07-06,102900005123880,灯笼椒(1),辣椒类,0.359,12.0,销售,否,7.38,16.33
2020-07-07,102900005123880,灯笼椒(1),辣椒类,0.351,12.0,销售,否,6.19,16.33
