单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011032350,灯笼椒(2),辣椒类,15:28:17.403,0.473,18.0,销售,否,2022-02-19,6.98
102900011032350,灯笼椒(2),辣椒类,16:32:38.014,0.395,18.0,销售,否,2022-02-19,6.98
102900011032350,灯笼椒(2),辣椒类,17:02:43.701,0.429,18.0,销售,否,2022-02-19,6.98
102900011032350,灯笼椒(2),辣椒类,17:04:30.248,0.39,18.0,销售,否,2022-02-19,6.98
102900011032350,灯笼椒(2),辣椒类,18:49:27.456,0.423,18.0,销售,否,2022-02-21,6.57
102900011032350,灯笼椒(2),辣椒类,18:49:30.702,0.434,18.0,销售,否,2022-02-22,5.46
102900011032350,灯笼椒(2),辣椒类,15:35:05.108,0.769,12.0,销售,否,2022-02-23,5.45
102900011032350,灯笼椒(2),辣椒类,11:08:37.542,0.445,16.0,销售,否,2022-02-24,5.45
102900011032350,灯笼椒(2),辣椒类,13:32:23.623,0.338,16.0,销售,否,2022-02-24,5.45
102900011032350,灯笼椒(2),辣椒类,14:25:39.561,0.238,16.0,销售,否,2022-02-24,5.45
102900011032350,灯笼椒(2),辣椒类,10:36:34.139,0.363,16.0,销售,否,2022-02-26,5.45
102900011032350,灯笼椒(2),辣椒类,12:50:50.358,0.47,16.0,销售,否,2022-02-27,5.45
102900011032350,灯笼椒(2),辣椒类,13:02:03.470,0.351,16.0,销售,否,2022-03-02,5.46
102900011032350,灯笼椒(2),辣椒类,15:53:46.108,0.533,16.0,销售,否,2022-03-02,5.46
102900011032350,灯笼椒(2),辣椒类,17:40:08.745,0.432,16.0,销售,否,2022-03-02,5.46
102900011032350,灯笼椒(2),辣椒类,18:12:41.920,0.389,16.0,销售,否,2022-03-03,6.18
102900011032350,灯笼椒(2),辣椒类,20:48:14.123,0.313,16.0,销售,否,2022-03-03,6.18
102900011032350,灯笼椒(2),辣椒类,17:05:14.519,0.464,16.0,销售,否,2022-03-04,6.18
102900011032350,灯笼椒(2),辣椒类,18:24:35.030,0.426,16.0,销售,否,2022-03-04,6.18
102900011032350,灯笼椒(2),辣椒类,20:58:58.980,0.213,16.0,销售,否,2022-03-04,6.18
102900011032350,灯笼椒(2),辣椒类,10:13:48.576,0.338,16.0,销售,否,2022-03-05,6.8
102900011032350,灯笼椒(2),辣椒类,10:52:26.727,0.464,16.0,销售,否,2022-03-05,6.8
102900011032350,灯笼椒(2),辣椒类,14:04:00.104,0.664,16.0,销售,否,2022-03-05,6.8
102900011032350,灯笼椒(2),辣椒类,09:27:06.217,0.42,16.0,销售,否,2022-03-06,7.75
102900011032350,灯笼椒(2),辣椒类,11:31:50.926,0.439,16.0,销售,否,2022-03-06,7.75
102900011032350,灯笼椒(2),辣椒类,14:26:32.701,0.201,16.0,销售,否,2022-03-06,7.75
102900011032350,灯笼椒(2),辣椒类,18:51:52.951,0.47,16.0,销售,否,2022-03-07,7.89
102900011032350,灯笼椒(2),辣椒类,12:36:37.092,0.52,16.0,销售,否,2022-03-08,8.35
102900011032350,灯笼椒(2),辣椒类,13:05:00.295,0.464,16.0,销售,否,2022-03-09,8.34
102900011032350,灯笼椒(2),辣椒类,15:44:47.896,0.345,16.0,销售,否,2022-03-10,8.27
102900011032350,灯笼椒(2),辣椒类,15:59:27.012,0.351,16.0,销售,否,2022-03-10,8.27
102900011032350,灯笼椒(2),辣椒类,20:32:03.812,0.313,16.0,销售,否,2022-03-10,8.27
102900011032350,灯笼椒(2),辣椒类,09:51:37.001,0.457,16.0,销售,否,2022-03-11,7.58
102900011032350,灯笼椒(2),辣椒类,15:29:09.457,0.307,16.0,销售,否,2022-03-11,7.58
102900011032350,灯笼椒(2),辣椒类,10:08:05.112,0.401,16.0,销售,否,2022-03-13,7.61
102900011032350,灯笼椒(2),辣椒类,14:40:22.155,0.395,16.0,销售,否,2022-03-13,7.61
102900011032350,灯笼椒(2),辣椒类,16:23:34.670,0.251,16.0,销售,否,2022-03-13,7.61
102900011032350,灯笼椒(2),辣椒类,18:20:14.440,0.351,16.0,销售,否,2022-03-14,7.78
102900011032350,灯笼椒(2),辣椒类,10:08:45.889,0.345,16.0,销售,否,2022-03-15,7.77
102900011032350,灯笼椒(2),辣椒类,17:14:53.854,0.426,16.0,销售,否,2022-03-15,7.77
102900011032350,灯笼椒(2),辣椒类,17:30:58.028,0.363,16.0,销售,否,2022-03-16,7.77
102900011032350,灯笼椒(2),辣椒类,10:22:42.485,0.389,16.0,销售,否,2022-03-17,8.1
102900011032350,灯笼椒(2),辣椒类,18:27:07.492,0.232,16.0,销售,否,2022-03-17,8.1
102900011032350,灯笼椒(2),辣椒类,19:08:09.956,0.351,16.0,销售,否,2022-03-18,8.43
102900011032350,灯笼椒(2),辣椒类,19:36:33.378,0.432,16.0,销售,否,2022-03-18,8.43
102900011032350,灯笼椒(2),辣椒类,15:42:20.811,0.357,16.0,销售,否,2022-03-19,8.67
102900011032350,灯笼椒(2),辣椒类,16:49:40.858,0.376,16.0,销售,否,2022-03-19,8.67
102900011032350,灯笼椒(2),辣椒类,18:24:24.696,0.401,16.0,销售,否,2022-03-19,8.67
