日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-12-30,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.32,19.8
2021-12-31,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,6.35,19.8
2021-12-31,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.35,19.8
2021-12-31,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,6.35,19.8
2022-01-05,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,6.29,19.8
2022-02-20,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.27,19.8
2022-02-24,102900011030608,牛排菇(盒),食用菌,1.0,4.1,销售,是,6.44,19.8
2022-02-27,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,3.17,19.8
2022-02-27,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,3.17,19.8
2022-02-27,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,3.17,19.8
2022-02-27,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,3.17,19.8
2022-02-28,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,6.2,19.8
2022-03-05,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.29,19.8
2022-03-05,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.29,19.8
2022-03-05,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.29,19.8
2022-03-08,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.15,19.8
2022-03-09,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,6.15,19.8
2022-03-16,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.16,19.8
2022-03-18,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.16,19.8
2022-04-12,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.38,19.8
2022-04-16,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.28,19.8
2022-04-17,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.7,19.8
2022-04-28,102900011030608,牛排菇(盒),食用菌,1.0,6.9,销售,是,6.24,19.8
2022-05-09,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.11,19.8
2022-06-21,102900011030608,牛排菇(盒),食用菌,1.0,5.0,销售,是,6.45,19.8
2022-06-23,102900011030608,牛排菇(盒),食用菌,-1.0,5.0,退货,否,6.2,19.8
2022-07-10,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,6.32,19.8
2022-07-10,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,6.32,19.8
2022-08-19,102900011030608,牛排菇(盒),食用菌,1.0,8.9,销售,否,0.1,19.8
2022-08-19,102900011030608,牛排菇(盒),食用菌,1.0,8.9,销售,否,0.1,19.8
2022-08-19,102900011030608,牛排菇(盒),食用菌,1.0,8.9,销售,否,0.1,19.8
2022-08-19,102900011030608,牛排菇(盒),食用菌,1.0,8.9,销售,否,0.1,19.8
2023-02-04,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,5.34,19.8
2023-02-06,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,5.33,19.8
2023-02-11,102900011030608,牛排菇(盒),食用菌,1.0,9.9,销售,否,5.59,19.8
2023-03-03,102900011030608,牛排菇(盒),食用菌,1.0,5.9,销售,是,5.1,19.8
