日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-12-12,102900011021699,牛排菇,食用菌,0.271,25.8,销售,否,16.26,8.11
2020-12-12,102900011021699,牛排菇,食用菌,0.264,25.8,销售,否,16.26,8.11
2020-12-13,102900011021699,牛排菇,食用菌,0.287,25.8,销售,否,16.25,8.11
2020-12-13,102900011021699,牛排菇,食用菌,0.306,25.8,销售,否,16.25,8.11
2020-12-13,102900011021699,牛排菇,食用菌,0.295,25.8,销售,否,16.25,8.11
2020-12-17,102900011021699,牛排菇,食用菌,0.14,25.8,销售,否,16.25,8.11
2020-12-17,102900011021699,牛排菇,食用菌,0.252,25.8,销售,否,16.25,8.11
2020-12-18,102900011021699,牛排菇,食用菌,0.271,25.8,销售,否,16.26,8.11
2020-12-18,102900011021699,牛排菇,食用菌,0.248,25.8,销售,否,16.26,8.11
2021-10-31,102900011021699,牛排菇,食用菌,0.319,29.8,销售,否,15.51,8.11
2021-10-31,102900011021699,牛排菇,食用菌,0.289,29.8,销售,否,15.51,8.11
2021-10-31,102900011021699,牛排菇,食用菌,0.309,29.8,销售,否,15.51,8.11
2021-10-31,102900011021699,牛排菇,食用菌,0.346,29.8,销售,否,15.51,8.11
2021-10-31,102900011021699,牛排菇,食用菌,0.322,29.8,销售,否,15.51,8.11
2021-11-01,102900011021699,牛排菇,食用菌,0.322,29.8,销售,否,15.51,8.11
2021-11-01,102900011021699,牛排菇,食用菌,0.319,29.8,销售,否,15.51,8.11
2021-11-02,102900011021699,牛排菇,食用菌,0.258,29.8,销售,否,15.43,8.11
2021-11-02,102900011021699,牛排菇,食用菌,0.289,29.8,销售,否,15.43,8.11
2021-11-02,102900011021699,牛排菇,食用菌,0.309,29.8,销售,否,15.43,8.11
2021-11-04,102900011021699,牛排菇,食用菌,0.222,29.8,销售,否,15.39,8.11
2021-11-06,102900011021699,牛排菇,食用菌,0.101,29.8,销售,否,15.44,8.11
2021-11-07,102900011021699,牛排菇,食用菌,0.222,29.8,销售,否,15.39,8.11
2021-11-07,102900011021699,牛排菇,食用菌,0.215,29.8,销售,否,15.39,8.11
2021-11-07,102900011021699,牛排菇,食用菌,0.225,29.8,销售,否,15.39,8.11
2021-11-07,102900011021699,牛排菇,食用菌,0.201,29.8,销售,否,15.39,8.11
