日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-10-30,102900005115168,牛首生菜,花叶类,0.743,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.502,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.301,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.382,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.261,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.341,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.221,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.321,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.462,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.422,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.402,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.221,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.241,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.402,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.341,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.402,5.0,销售,否,3.0,4.39
2020-10-30,102900005115168,牛首生菜,花叶类,0.462,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.321,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.442,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.944,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.181,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.442,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.201,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.422,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.602,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.602,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.743,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.382,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.843,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.382,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.422,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.141,5.0,销售,否,3.0,4.39
2020-10-31,102900005115168,牛首生菜,花叶类,0.181,5.0,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.852,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.437,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.328,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.349,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.742,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.568,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.611,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.197,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.197,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.568,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.328,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.546,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.415,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.568,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.415,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.48,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.742,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.699,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.306,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.24,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.568,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.699,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.611,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.764,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.306,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.175,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.262,4.6,销售,否,3.0,4.39
2020-11-01,102900005115168,牛首生菜,花叶类,0.153,4.6,销售,否,3.0,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.436,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.537,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.503,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.436,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.537,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.302,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.168,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.302,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.436,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.336,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.201,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.369,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.671,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.235,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.168,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.134,3.0,销售,否,1.6,4.39
2020-12-04,102900005115168,牛首生菜,花叶类,0.201,3.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.201,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.402,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.281,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.321,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.382,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.321,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.683,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.341,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.542,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.442,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.502,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.964,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.361,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.482,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.221,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.502,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.462,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.181,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.602,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.442,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.161,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.382,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.703,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.623,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.783,5.0,销售,否,1.6,4.39
2021-03-03,102900005115168,牛首生菜,花叶类,0.281,5.0,销售,否,1.6,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.355,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.385,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.325,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.385,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.296,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.414,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.74,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.414,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.355,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.562,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.355,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.621,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.296,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.533,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.266,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.296,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.562,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.385,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.385,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.74,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.414,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.562,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.444,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.414,3.4,销售,否,2.2,4.39
2021-03-04,102900005115168,牛首生菜,花叶类,0.74,3.4,销售,否,2.2,4.39
