日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900011008522,甜白菜,花叶类,0.514,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.451,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.714,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.815,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.589,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.401,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.489,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.514,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.915,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.501,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.301,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.501,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.338,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.401,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.99,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.451,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.739,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.777,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.99,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.464,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.288,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.288,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.451,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.915,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,1.554,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.326,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.514,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.351,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.526,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.426,8.0,销售,否,4.44,9.43
2020-07-01,102900011008522,甜白菜,花叶类,0.363,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.464,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.451,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.539,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.389,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.551,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.351,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.476,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.326,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.94,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.702,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,1.203,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.301,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.389,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.501,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,1.303,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.539,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.614,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.476,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.426,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.389,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.576,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.326,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.526,8.0,销售,否,4.44,9.43
2020-07-02,102900011008522,甜白菜,花叶类,0.376,8.0,销售,否,4.44,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.702,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.401,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.489,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.464,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.94,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.313,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.539,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.752,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,1.003,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.739,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.426,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.915,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.94,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.702,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.94,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.326,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.589,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,0.439,8.0,销售,否,4.47,9.43
2020-07-03,102900011008522,甜白菜,花叶类,1.115,8.0,销售,否,4.47,9.43
2020-07-04,102900011008522,甜白菜,花叶类,1.353,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.526,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.351,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.977,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.702,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.401,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.614,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.313,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.952,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.313,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.79,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.501,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.677,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.514,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.326,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.439,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.464,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.489,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.464,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.414,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.389,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.301,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.389,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.514,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.351,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.338,8.0,销售,否,4.44,9.43
2020-07-04,102900011008522,甜白菜,花叶类,0.752,8.0,销售,否,4.44,9.43
