日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-02-22,102900011002414,田七,花叶类,0.242,12.0,销售,否,6.01,16.95
2021-02-22,102900011002414,田七,花叶类,0.234,12.0,销售,否,6.01,16.95
2021-02-23,102900011002414,田七,花叶类,0.209,12.0,销售,否,5.98,16.95
2021-02-24,102900011002414,田七,花叶类,0.234,12.0,销售,否,9.91,16.95
2021-03-07,102900011002414,田七,花叶类,0.393,14.0,销售,否,6.13,16.95
2021-03-07,102900011002414,田七,花叶类,0.444,14.0,销售,否,6.13,16.95
2021-03-07,102900011002414,田七,花叶类,0.379,14.0,销售,否,6.13,16.95
2021-03-08,102900011002414,田七,花叶类,0.408,14.0,销售,否,6.15,16.95
2021-03-09,102900011002414,田七,花叶类,0.125,12.0,销售,否,6.13,16.95
2021-03-09,102900011002414,田七,花叶类,0.434,12.0,销售,否,6.13,16.95
2021-03-09,102900011002414,田七,花叶类,0.134,12.0,销售,否,6.13,16.95
2021-03-10,102900011002414,田七,花叶类,0.184,12.0,销售,否,6.14,16.95
2021-03-10,102900011002414,田七,花叶类,0.192,12.0,销售,否,6.14,16.95
2021-03-10,102900011002414,田七,花叶类,0.242,12.0,销售,否,6.14,16.95
2021-03-10,102900011002414,田七,花叶类,0.175,12.0,销售,否,6.14,16.95
2021-03-11,102900011002414,田七,花叶类,0.159,12.0,销售,否,6.15,16.95
2021-03-11,102900011002414,田七,花叶类,0.225,12.0,销售,否,6.15,16.95
2021-03-12,102900011002414,田七,花叶类,0.159,12.0,销售,否,6.12,16.95
2021-03-12,102900011002414,田七,花叶类,0.217,12.0,销售,否,6.12,16.95
2021-03-12,102900011002414,田七,花叶类,0.217,12.0,销售,否,6.12,16.95
2021-03-13,102900011002414,田七,花叶类,0.301,12.0,销售,否,6.11,16.95
2021-03-13,102900011002414,田七,花叶类,0.1,12.0,销售,否,6.11,16.95
2021-03-14,102900011002414,田七,花叶类,0.167,12.0,销售,否,6.12,16.95
2021-03-14,102900011002414,田七,花叶类,0.384,12.0,销售,否,6.12,16.95
2021-03-14,102900011002414,田七,花叶类,0.301,12.0,销售,否,6.12,16.95
2021-03-14,102900011002414,田七,花叶类,0.092,12.0,销售,否,6.12,16.95
2021-03-14,102900011002414,田七,花叶类,0.217,12.0,销售,否,6.12,16.95
2021-03-19,102900011002414,田七,花叶类,0.25,16.0,销售,否,6.12,16.95
2021-03-20,102900011002414,田七,花叶类,0.069,16.0,销售,否,6.09,16.95
2021-03-22,102900011002414,田七,花叶类,0.056,16.0,销售,否,6.07,16.95
2021-03-24,102900011002414,田七,花叶类,0.244,16.0,销售,否,7.13,16.95
2021-03-25,102900011002414,田七,花叶类,0.269,16.0,销售,否,7.15,16.95
2021-03-25,102900011002414,田七,花叶类,0.232,16.0,销售,否,7.15,16.95
2021-03-26,102900011002414,田七,花叶类,0.263,16.0,销售,否,7.15,16.95
2021-03-27,102900011002414,田七,花叶类,0.225,16.0,销售,否,7.38,16.95
2021-03-27,102900011002414,田七,花叶类,0.244,16.0,销售,否,7.38,16.95
2021-03-27,102900011002414,田七,花叶类,0.213,16.0,销售,否,7.38,16.95
2021-03-28,102900011002414,田七,花叶类,0.282,16.0,销售,否,7.73,16.95
2021-03-29,102900011002414,田七,花叶类,0.25,16.0,销售,否,7.72,16.95
2021-03-30,102900011002414,田七,花叶类,0.25,16.0,销售,否,7.9,16.95
2021-03-30,102900011002414,田七,花叶类,0.238,16.0,销售,否,7.9,16.95
2021-03-30,102900011002414,田七,花叶类,0.207,16.0,销售,否,7.9,16.95
2021-04-02,102900011002414,田七,花叶类,0.225,16.0,销售,否,7.56,16.95
2021-04-02,102900011002414,田七,花叶类,0.225,16.0,销售,否,7.56,16.95
2021-04-02,102900011002414,田七,花叶类,0.219,16.0,销售,否,7.56,16.95
2021-04-03,102900011002414,田七,花叶类,0.238,16.0,销售,否,7.15,16.95
2021-04-03,102900011002414,田七,花叶类,0.207,16.0,销售,否,7.15,16.95
2021-04-04,102900011002414,田七,花叶类,0.294,16.0,销售,否,7.13,16.95
2021-04-04,102900011002414,田七,花叶类,0.3,16.0,销售,否,7.13,16.95
2021-04-04,102900011002414,田七,花叶类,0.119,16.0,销售,否,7.13,16.95
2021-04-04,102900011002414,田七,花叶类,0.2,16.0,销售,否,7.13,16.95
2021-04-05,102900011002414,田七,花叶类,0.175,16.0,销售,否,7.14,16.95
2021-04-06,102900011002414,田七,花叶类,0.35,16.0,销售,否,7.12,16.95
2021-04-07,102900011002414,田七,花叶类,0.369,16.0,销售,否,7.15,16.95
2021-04-08,102900011002414,田七,花叶类,0.325,16.0,销售,否,7.14,16.95
2021-04-08,102900011002414,田七,花叶类,0.438,16.0,销售,否,7.14,16.95
