日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-05-19,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-20,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-20,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-20,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-20,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-21,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-21,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-22,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-22,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-22,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-23,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-23,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-23,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-23,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-23,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-24,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-24,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-05-26,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-07-11,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-07-11,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-07-11,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
2021-07-11,102900005117353,白玉菇(1),食用菌,1.0,4.9,销售,否,1.0,9.43
